Intensity_GW_cm2,Reflectivity
3.37651774088537,0.107853312657525
3.30985107421876,0.107699897648995
3.24318440755215,0.107362612333394
3.17651774088555,0.10767712733233
3.10985107421894,0.107728360544826
3.04318440755234,0.109165452155346
2.97651774088573,0.110692486516692
2.90985107421912,0.109816683211965
2.84318440755252,0.10974495671447
2.77651774088591,0.108808242812664
2.70985107421931,0.108205398678958
2.6431844075527,0.107954071308768
2.57651774088609,0.107756254182741
2.50985107421949,0.108080446566258
2.44318440755288,0.108514790356643
2.37651774088628,0.109147235902014
2.30985107421967,0.109652736931977
2.24318440755306,0.111007286144586
2.17651774088646,0.11088518032147
2.10985107421985,0.112219520878039
2.04318440755325,0.111388688948725
1.97651774088664,0.111065350452082
1.90985107422003,0.110237934070267
1.84318440755343,0.110987077488546
1.77651774088682,0.111616107486416
1.70985107422022,0.110992200809795
1.64318440755361,0.111142769528743
1.576517740887,0.110702163901275
1.5098510742204,0.110745427502938
1.44318440755379,0.111305292663939
1.37651774088719,0.114287919518096
1.30985107422058,0.114601865259115
1.24318440755397,0.112405383587817
1.17651774088737,0.112424738356982
1.10985107422076,0.112251968579287
1.04318440755416,0.113150542200679
0.976517740887553,0.114993799334711
0.909851074220947,0.117782309239299
0.843184407554341,0.122506865318328
0.776517740887735,0.129189384001589
0.709851074221129,0.139759080368524
0.643184407554523,0.154483221010988
0.576517740887917,0.173775656434369
0.509851074221311,0.201495670684424
0.443184407554705,0.235930082061071
0.376517740888099,0.272531373697351
0.309851074221493,0.315501807533791
0.243184407554887,0.361807808132695
0.176517740888281,0.412737036901468
0.109851074221675,0.462972340269876
0.0431844075550695,0.505935658382358
-0.0234822591115365,0.526325907697949
-0.0901489257781425,0.514956973216073
-0.156815592444748,0.448946963720069
-0.223482259111354,0.314724770477598
-0.29014892577796,0.187859951178546
-0.356815592444566,0.138485365780076
-0.423482259111172,0.144538285207549
-0.490148925777778,0.16602834081806
-0.556815592444384,0.196683164257276
-0.62348225911099,0.236126191413348
-0.690148925777596,0.282784847291601
-0.756815592444202,0.336368525725597
-0.823482259110809,0.392708550991892
-0.890148925777415,0.446812531161684
-0.956815592444021,0.502976655731741
-1.02348225911062,0.550652860135961
-1.09014892577723,0.577615192098988
-1.15681559244383,0.58315065608025
-1.22348225911044,0.568221582587801
-1.29014892577705,0.487398058956422
-1.35681559244365,0.312635309294626
-1.42348225911026,0.166054242053267
-1.49014892577686,0.107478171690469
-1.55681559244347,0.0964966172208564
-1.62348225911008,0.0960064861546423
-1.69014892577668,0.0945360929559999
-1.75681559244329,0.0941270811429048
-1.82348225910989,0.0939369489987521
-1.8901489257765,0.0935723393031537
-1.95681559244311,0.0935922633302356
-2.02348225910971,0.093504312982117
-2.09014892577632,0.0936429272848152
-2.15681559244292,0.0939972903379143
-2.22348225910953,0.0936970067868946
-2.29014892577614,0.0939935901614563
-2.35681559244274,0.093728315972309
-2.42348225910935,0.0938390366370926
-2.49014892577596,0.0936039331175264
-2.55681559244256,0.0937280313433507
-2.62348225910917,0.0939363797408354
-2.69014892577577,0.0939022242658379
-2.75681559244238,0.094189130255817
-2.82348225910899,0.0939972903379143
-2.89014892577559,0.0943920707030938
-2.9568155924422,0.093933248822294
-3.0234822591088,0.0941256579981133
-3.09014892577541,0.0938139892887611
-3.15681559244202,0.0937886573114712
-3.22348225910862,0.0940044060618721
