Slit_separation_fs,Frequency_THz,Intensity,Series
1299.99999999995,242.642904635948,0.131830666666666,model
1299.99999999995,242.603565829062,0.085064,model
1299.99999999995,242.564241046662,-0.074636,model
1299.99999999995,242.524930281833,-0.0591026666666666,model
1299.99999999995,242.485633527666,0.00449733333333333,model
1299.99999999995,242.446350777256,0.156864,model
1299.99999999995,242.407082023703,0.00749733333333333,model
1299.99999999995,242.367827260111,-0.234469333333333,model
1299.99999999995,242.328586479589,0.156797333333333,model
1299.99999999995,242.289359675251,0.096464,model
1299.99999999995,242.250146840213,0.0845973333333333,model
1299.99999999995,242.210947967599,-0.105469333333333,model
1299.99999999995,242.171763050534,-0.162269333333333,model
1299.99999999995,242.132592082151,-0.0271026666666666,model
1299.99999999995,242.093435055585,-0.00616933333333333,model
1299.99999999995,242.054291963976,-0.122569333333333,model
1299.99999999995,242.015162800469,0.045864,model
1299.99999999995,241.976047558214,-0.161302666666666,model
1299.99999999995,241.936946230363,-0.0272693333333333,model
1299.99999999995,241.897858810075,-0.0516693333333333,model
1299.99999999995,241.858785290514,0.201630666666666,model
1299.99999999995,241.819725664845,0.0676306666666666,model
1299.99999999995,241.780679926241,0.0330306666666666,model
1299.99999999995,241.741648067877,-0.161336,model
1299.99999999995,241.702630082934,0.036564,model
1299.99999999995,241.663625964597,0.033864,model
1299.99999999995,241.624635706056,0.155630666666666,model
1299.99999999995,241.585659300504,-0.0818693333333333,model
1299.99999999995,241.54669674114,0.153997333333333,model
1299.99999999995,241.507748021166,-0.081036,model
1299.99999999995,241.468813133789,-0.116036,model
1299.99999999995,241.429892072221,-0.123169333333333,model
1299.99999999995,241.390984829679,0.220330666666666,model
1299.99999999995,241.352091399382,0.0149306666666666,model
1299.99999999995,241.313211774556,0.038864,model
1299.99999999995,241.27434594843,0.0249973333333333,model
1299.99999999995,241.235493914237,0.108464,model
1299.99999999995,241.196655665215,-0.227469333333333,model
1299.99999999995,241.157831194608,-0.0932026666666666,model
1299.99999999995,241.119020495662,0.147897333333333,model
1299.99999999995,241.080223561629,0.0599973333333333,model
