Slit_separation_fs,Delay_fs,Reflectivity,Series
-1500.0,217391.304347826,0.000366967110436909,model
-1500.0,217510.594452413,0.000416695746559328,model
-1500.0,217629.884557001,0.000368520281095681,model
-1500.0,217749.174661588,0.000282349132481789,model
-1500.0,217868.464766176,0.000265052005366625,model
-1500.0,217987.754870764,0.000348003711036077,model
-1500.0,218107.044975351,0.000447407372898861,model
-1500.0,218226.33507993902,0.000456951364737409,model
-1500.0,218345.625184526,0.000370746137012184,model
-1500.0,218464.915289114,0.000294512386395058,model
-1500.0,218584.20539370202,0.000327270390289909,model
-1500.0,218703.495498289,0.000445598671089671,model
-1500.0,218822.785602877,0.000525501256888919,model
-1500.0,218942.075707464,0.000482578735874819,model
-1500.0,219061.36581205198,0.000372282629472951,model
-1500.0,219180.65591664,0.000331652654168727,model
-1500.0,219299.946021227,0.000423040326627673,model
-1500.0,219419.236125815,0.000557856805053521,model
-1500.0,219538.526230402,0.000592954505502201,model
-1500.0,219657.81633499003,0.000495366242440934,model
-1500.0,219777.106439578,0.000386176167176458,model
-1500.0,219896.396544165,0.000406361871223822,model
-1500.0,220015.686648753,0.000552898205275903,model
-1500.0,220134.97675334004,0.000675117721340904,model
-1500.0,220254.266857928,0.000643823417402482,model
-1500.0,220373.556962516,0.000503684567216074,model
-1500.0,220492.84706710302,0.000429843721342846,model
-1500.0,220612.137171691,0.000529363956478691,model
-1500.0,220731.427276278,0.000712098853661378,model
-1500.0,220850.717380866,0.000786124826364468,model
-1500.0,220970.007485454,0.000677547377479214,model
-1500.0,221089.297590041,0.000523796152964622,model
-1500.0,221208.587694629,0.000523673199762351,model
-1500.0,221327.877799216,0.000707137722681267,model
-1500.0,221447.167903804,0.000890619666192465,model
-1500.0,221566.45800839202,0.000880946816623661,model
-1500.0,221685.748112979,0.000702351582292725,model
-1500.0,221805.038217567,0.000580544424452296,model
-1500.0,221924.328322154,0.000688683928217591,model
-1500.0,222043.618426742,0.000939951836859391,model
-1500.0,222162.90853133,0.00107441571478694,model
-1500.0,222282.198635917,0.000955408109906164,model
-1500.0,222401.48874050498,0.000738784911416895,model
-1500.0,222520.77884509202,0.000707190424052962,model
-1500.0,222640.06894968002,0.000943669284476716,model
-1500.0,222759.359054268,0.00122054328643529,model
-1500.0,222878.649158855,0.00124876654164802,model
-1500.0,222997.939263443,0.00101690585703684,model
-1500.0,223117.22936803004,0.000823609651248809,model
-1500.0,223236.519472618,0.000944288862443529,model
-1500.0,223355.809577206,0.00130206496687309,model
-1500.0,223475.099681793,0.00153426503031853,model
-1500.0,223594.389786381,0.00140416397600731,model
-1500.0,223713.679890968,0.00109267259202716,model
-1500.0,223832.96999555602,0.00101391105553324,model
-1500.0,223952.26010014402,0.00133794559580204,model
-1500.0,224071.550204731,0.00176860266818379,model
-1500.0,224190.840309319,0.00186176987465026,model
-1500.0,224310.130413906,0.0015466333370509,model
-1500.0,224429.420518494,0.00124173516415012,model
-1500.0,224548.710623082,0.00139233637229983,model
-1500.0,224668.000727669,0.00193664010581013,model
-1500.0,224787.290832257,0.0023364697662556,model
-1500.0,224906.580936844,0.00218628361163462,model
-1500.0,225025.871041432,0.00171663593187157,model
-1500.0,225145.16114602,0.0015736653660916,model
-1500.0,225264.451250607,0.00207341832221572,model
-1500.0,225383.741355195,0.00278535104572093,model
-1500.0,225503.031459782,0.00298526106671533,model
-1500.0,225622.32156437,0.00251221080363731,model
-1500.0,225741.611668958,0.00202513053733283,model
-1500.0,225860.90177354502,0.00227965627897217,model
-1500.0,225980.191878133,0.0032076317319054,model
-1500.0,226099.48198272003,0.00391115533205973,model
-1500.0,226218.772087308,0.00368325541071317,model
-1500.0,226338.062191896,0.00291202292749976,model
-1500.0,226457.352296483,0.00272742494784516,model
-1500.0,226576.642401071,0.00367664711221068,model
-1500.0,226695.93250565798,0.00496252363664062,model
-1500.0,226815.222610246,0.00528022086454548,model
-1500.0,226934.512714834,0.00441090662529204,model
-1500.0,227053.802819421,0.0036507616197367,model
-1500.0,227173.09292400902,0.00435881198725185,model
-1500.0,227292.383028596,0.00620933489573501,model
-1500.0,227411.673133184,0.0073705130808159,model
-1500.0,227530.96323777203,0.0066789320468411,model
-1500.0,227650.253342359,0.00527842146230745,model
-1500.0,227769.543446947,0.0054654045234454,model
-1500.0,227888.83355153401,0.0078136407473872,model
-1500.0,228008.12365612198,0.0101392511586213,model
-1500.0,228127.41376071,0.00993282468739402,model
-1500.0,228246.703865297,0.00739100474523602,model
-1500.0,228365.993969885,0.00512809639406815,model
-1500.0,228485.284074472,0.00566443716320062,model
-1500.0,228604.57417906003,0.0129256934900227,model
-1500.0,228723.864283648,0.0413231730279486,model
-1500.0,228843.154388235,0.128295600773128,model
-1500.0,228962.444492823,0.347408707245542,model
-1500.0,229081.73459741002,0.83449561016435,model
-1500.0,229201.02470199802,1.84475090256659,model
-1500.0,229320.31480658602,3.82183489374637,model
-1500.0,229439.60491117302,7.39187854090645,model
-1500.0,229558.895015761,13.1720274429963,model
-1500.0,229678.185120348,21.3822668007826,model
-1500.0,229797.475224936,31.4333866297049,model
-1500.0,229916.765329524,41.7816754570359,model
-1500.0,230036.05543411098,50.2490676755829,model
-1500.0,230155.345538699,54.7465756601392,model
-1500.0,230274.635643286,54.0769452793001,model
-1500.0,230393.925747874,48.4221024465477,model
-1500.0,230513.215852461,39.2673363259606,model
-1500.0,230632.505957049,28.8036042704765,model
