figure_ref,slit_separation_fs,visibility_obs,visibility_pred,visibility_base,resid_cat,resid_base
Fig_2a,800,0.413450559525,0.137707086628,0.137707086628,-0.275743472897,-0.275743472897
Fig_2b,500,0.162279627014,0.137707086628,0.137707086628,-0.0245725403859,-0.0245725403859
Fig_2f,-1300,0.161780480121,0.137707086628,0.137707086628,-0.0240733934935,-0.0240733934935
Fig_2f,-1200,0.14304446847,0.137707086628,0.137707086628,-0.00533738184186,-0.00533738184186
Fig_2f,-1100,0.179385724266,0.137707086628,0.137707086628,-0.041678637638,-0.041678637638
Fig_2f,-1000,0.155740740467,0.137707086628,0.137707086628,-0.0180336538394,-0.0180336538394
Fig_2f,-900,0.14928187824,0.137707086628,0.137707086628,-0.0115747916119,-0.0115747916119
Fig_2f,-800,0.125990823885,0.137707086628,0.137707086628,0.0117162627427,0.0117162627427
Fig_2f,-700,0.108940495552,0.137707086628,0.137707086628,0.0287665910761,0.0287665910761
Fig_2f,-600,0.146092375192,0.137707086628,0.137707086628,-0.0083852885642,-0.0083852885642
Fig_2f,-500,0.0922680643944,0.137707086628,0.137707086628,0.0454390222335,0.0454390222335
Fig_2f,-400,0.108392924163,0.137707086628,0.137707086628,0.0293141624647,0.0293141624647
Fig_2f,-300,0.0888559237167,0.137707086628,0.137707086628,0.0488511629112,0.0488511629112
Fig_2f,-200,0.109502292092,0.137707086628,0.137707086628,0.0282047945357,0.0282047945357
Fig_2f,-100,0.133285209989,0.137707086628,0.137707086628,0.00442187663878,0.00442187663878
Fig_2f,0,0.12812016208,0.137707086628,0.137707086628,0.00958692454763,0.00958692454763
Fig_2f,99.9999999999,0.168625827998,0.137707086628,0.137707086628,-0.0309187413703,-0.0309187413703
Fig_2f,200,0.108520160934,0.137707086628,0.137707086628,0.0291869256943,0.0291869256943
Fig_2f,300,0.103666600174,0.137707086628,0.137707086628,0.0340404864543,0.0340404864543
Fig_2f,400,0.168657089766,0.137707086628,0.137707086628,-0.0309500031377,-0.0309500031377
Fig_2f,500,0.154068232638,0.137707086628,0.137707086628,-0.0163611460097,-0.0163611460097
Fig_2f,600,0.150037265067,0.137707086628,0.137707086628,-0.0123301784394,-0.0123301784394
Fig_2f,700,0.138779704057,0.137707086628,0.137707086628,-0.00107261742957,-0.00107261742957
Fig_2f,800,0.181746749042,0.137707086628,0.137707086628,-0.0440396624137,-0.0440396624137
Fig_2f,900,0.101753094583,0.137707086628,0.137707086628,0.0359539920445,0.0359539920445
Fig_2f,1000,0.156105787511,0.137707086628,0.137707086628,-0.0183987008828,-0.0183987008828
Fig_2f,1100,0.148856231168,0.137707086628,0.137707086628,-0.0111491445401,-0.0111491445401
Fig_2f,1200,0.163338180909,0.137707086628,0.137707086628,-0.0256310942807,-0.0256310942807
Fig_2f,1300,0.133930341856,0.137707086628,0.137707086628,0.00377674477224,0.00377674477224
