detuning_THz,data,std_pred,cat_pred
-10.106838288,1.086046021e-03,8.208551882e-01,8.208825961e-01
-10.075214766,-1.340513493e-04,8.218965265e-01,8.219150825e-01
-10.043580845,9.076921920e-04,8.229275530e-01,8.229364086e-01
-10.011936518,5.542590835e-04,8.239473310e-01,8.239461001e-01
-9.980281781,3.038651519e-04,8.249553802e-01,8.249441567e-01
-9.948616631,1.059631317e-03,8.259517014e-01,8.259310535e-01
-9.916941061,7.784566143e-04,8.269367778e-01,8.269077201e-01
-9.885255067,2.929499849e-04,8.279115540e-01,8.278754980e-01
-9.853558646,-7.903890749e-05,8.288773921e-01,8.288360783e-01
-9.821851791,4.066860253e-04,8.298360081e-01,8.297914221e-01
-9.790134498,1.970392854e-03,8.307893903e-01,8.307436677e-01
-9.758406764,3.272236093e-04,8.317397052e-01,8.316950292e-01
-9.726668582,4.579873103e-04,8.326891931e-01,8.326476904e-01
-9.694919948,-1.663602437e-04,8.336400607e-01,8.336036997e-01
-9.663160859,5.490198034e-04,8.345943743e-01,8.345648716e-01
-9.631391308,-6.158468220e-04,8.355539587e-01,8.355326976e-01
-9.599611291,1.165071831e-03,8.365203083e-01,8.365082734e-01
-9.567820804,1.984246384e-04,8.374945125e-01,8.374922434e-01
-9.536019842,8.749466909e-04,8.384772008e-01,8.384847679e-01
-9.504208400,-9.104559122e-05,8.394685100e-01,8.394855117e-01
-9.472386473,1.065962114e-03,8.404680744e-01,8.404936580e-01
-9.440554057,3.935878249e-04,8.414750407e-01,8.415079444e-01
-9.408711148,-7.030677387e-05,8.424881063e-01,8.425267213e-01
-9.376857739,8.651230405e-04,8.435055798e-01,8.435480279e-01
-9.344993828,-6.929079012e-04,8.445254600e-01,8.445696856e-01
-9.313119408,-3.076025051e-04,8.455455313e-01,8.455894003e-01
-9.281234475,7.647035039e-04,8.465634693e-01,8.466048721e-01
-9.249339025,-1.130169492e-03,8.475769522e-01,8.476139057e-01
-9.217433053,5.918072581e-04,8.485837729e-01,8.486145156e-01
-9.185516554,6.376509597e-04,8.495819464e-01,8.496050227e-01
-9.153589523,6.655937872e-04,8.505698061e-01,8.505841360e-01
-9.121651956,-2.499704232e-04,8.515460864e-01,8.515510160e-01
-9.089703848,2.043188286e-04,8.525099845e-01,8.525053172e-01
-9.057745193,-9.666602903e-04,8.534612021e-01,8.534472059e-01
-9.025775989,1.843995220e-03,8.543999607e-01,8.543773542e-01
-8.993796228,8.568275136e-04,8.553269932e-01,8.552969091e-01
-8.961805908,8.184061257e-04,8.562435095e-01,8.562074388e-01
-8.929805023,-5.252378375e-06,8.571511392e-01,8.571108572e-01
-8.897793569,1.474844271e-03,8.580518533e-01,8.580093328e-01
-8.865771540,-1.135190469e-03,8.589478689e-01,8.589051834e-01
-8.833738932,-1.783669275e-04,8.598415411e-01,8.598007641e-01
-8.801695740,2.660986740e-04,8.607352481e-01,8.606983518e-01
-8.769641959,3.405401131e-04,8.616312740e-01,8.616000338e-01
-8.737577585,9.290859193e-04,8.625316960e-01,8.625076047e-01
-8.705502613,1.763877894e-03,8.634382811e-01,8.634224771e-01
-8.673417038,2.662851050e-03,8.643523972e-01,8.643456101e-01
-8.641320856,1.618487869e-03,8.652749439e-01,8.652774605e-01
-8.609214061,-6.703222376e-05,8.662063053e-01,8.662179570e-01
-8.577096649,-2.239923256e-04,8.671463285e-01,8.671665013e-01
-8.544968614,-1.305903682e-03,8.680943278e-01,8.681219940e-01
-8.512829953,1.246280673e-03,8.690491158e-01,8.690828855e-01
-8.480680661,1.866362580e-04,8.700090588e-01,8.700472498e-01
-8.448520732,-5.647638403e-04,8.709721548e-01,8.710128757e-01
-8.416350161,-4.693652805e-04,8.719361300e-01,8.719773740e-01
-8.384168945,1.787018048e-03,8.728985493e-01,8.729382928e-01
-8.351977079,1.189740108e-03,8.738569349e-01,8.738932374e-01
-8.319774556,1.798688544e-04,8.748088883e-01,8.748399869e-01
-8.287561373,1.021528652e-04,8.757522082e-01,8.757766040e-01
-8.255337525,1.995279435e-03,8.766850002e-01,8.767015306e-01
-8.223103007,2.543102936e-04,8.776057707e-01,8.776136657e-01
-8.190857815,-3.442774663e-04,8.785135027e-01,8.785124208e-01
-8.158601943,1.585087458e-03,8.794077070e-01,8.793977505e-01
-8.126335386,1.589453525e-03,8.802884486e-01,8.802701568e-01
-8.094058140,-9.104559122e-05,8.811563452e-01,8.811306657e-01
-8.061770200,2.837812446e-04,8.820125383e-01,8.819807787e-01
-8.029471561,1.285575275e-03,8.828586379e-01,8.828223997e-01
-7.997162218,1.770309110e-04,8.836966442e-01,8.836577420e-01
-7.964842167,4.466355366e-04,8.845288489e-01,8.844892200e-01
-7.932511403,7.966762111e-05,8.853577218e-01,8.853193295e-01
-7.900169920,1.520469669e-03,8.861857879e-01,8.861505244e-01
-7.867817714,1.624818666e-03,8.870155010e-01,8.869850935e-01
-7.835454780,1.516103602e-03,8.878491205e-01,8.878250466e-01
-7.803081114,1.023392962e-03,8.886885969e-01,8.886720124e-01
-7.770696710,7.175499823e-04,8.895354728e-01,8.895271553e-01
-7.738301563,1.520251366e-03,8.903908030e-01,8.903911156e-01
-7.705895670,1.132326329e-03,8.912550993e-01,8.912639740e-01
-7.673479024,5.455269499e-04,8.921283019e-01,8.921452454e-01
-7.641051620,-9.607661001e-04,8.930097792e-01,8.930338992e-01
-7.608613456,2.497259234e-04,8.938983566e-01,8.939284085e-01
-7.576164524,7.642668972e-04,8.947923724e-01,8.948268227e-01
-7.543704821,-3.123047590e-05,8.956897585e-01,8.957268632e-01
-7.511234341,7.289017560e-04,8.965881420e-01,8.966260345e-01
-7.478753080,4.975002150e-04,8.974849627e-01,8.975217476e-01
-7.446261032,9.120582588e-04,8.983776000e-01,8.984114483e-01
-7.413758193,-1.925566446e-04,8.992635044e-01,8.992927443e-01
-7.381244559,-1.824155812e-03,9.001403253e-01,9.001635255e-01
-7.348720123,5.525126568e-04,9.010060296e-01,9.010220695e-01
-7.316184882,6.304469494e-04,9.018590051e-01,9.018671296e-01
-7.283638830,1.346700210e-03,9.026981430e-01,9.026979981e-01
-7.251081962,1.068145147e-03,9.035228953e-01,9.035145439e-01
-7.218514274,1.792475631e-03,9.043333039e-01,9.043172205e-01
-7.185935761,9.404376930e-04,9.051300009e-01,9.051070454e-01
-7.153346417,1.354122523e-03,9.059141780e-01,9.058855502e-01
-7.120746238,8.819323978e-04,9.066875280e-01,9.066547055e-01
-7.088135219,-5.101880052e-04,9.074521604e-01,9.074168227e-01
-7.055513354,-3.613051269e-04,9.082104958e-01,9.081744382e-01
-7.022880640,1.190831625e-03,9.089651436e-01,9.089301863e-01
-6.990237071,8.949127144e-05,9.097187697e-01,9.096866656e-01
-6.957582642,1.992441491e-03,9.104739608e-01,9.104463074e-01
-6.924917349,7.957025782e-04,9.112330919e-01,9.112112517e-01
-6.892241186,2.809433011e-04,9.119982042e-01,9.119832368e-01
-6.859554148,1.151973630e-03,9.127708989e-01,9.127635095e-01
-6.826856231,-2.373088294e-04,9.135522537e-01,9.135527594e-01
-6.794147429,-3.625145274e-05,9.143427646e-01,9.143510808e-01
-6.761427738,5.972648416e-04,9.151423182e-01,9.151579654e-01
-6.728697152,-3.185176721e-04,9.159501941e-01,9.159723242e-01
-6.695955668,1.387086328e-03,9.167650985e-01,9.167925409e-01
-6.663203279,4.525297268e-04,9.175852275e-01,9.176165500e-01
-6.630439980,2.929499849e-04,9.184083568e-01,9.184419404e-01
-6.597665768,4.774163077e-04,9.192319530e-01,9.192660753e-01
-6.564880637,-5.138991619e-04,9.200533014e-01,9.200862250e-01
-6.532084581,4.031931719e-04,9.208696438e-01,9.208997049e-01
-6.499277597,4.143266422e-04,9.216783192e-01,9.217040118e-01
-6.466459678,4.820006778e-04,9.224768997e-01,9.224969517e-01
-6.433630821,2.074305244e-03,9.232633160e-01,9.232767521e-01
-6.400791019,1.447992960e-03,9.240359639e-01,9.240421536e-01
-6.367940269,9.148962022e-04,9.247937883e-01,9.247924760e-01
-6.335078565,7.963574883e-04,9.255363391e-01,9.255276540e-01
-6.302205902,1.156558000e-03,9.262637957e-01,9.262482432e-01
-6.269322275,1.732878819e-03,9.269769602e-01,9.269553928e-01
-6.236427679,5.608081838e-04,9.276772174e-01,9.276507888e-01
-6.203522110,6.559884403e-04,9.283664654e-01,9.283365692e-01
-6.170605561,1.637043653e-03,9.290470189e-01,9.290152153e-01
-6.137678029,9.620497238e-04,9.297214906e-01,9.296894252e-01
-6.104739508,4.015471647e-05,9.303926569e-01,9.303619754e-01
-6.071789993,-1.731276473e-04,9.310633145e-01,9.310355781e-01
-6.038829479,8.236454058e-04,9.317361348e-01,9.317127405e-01
-6.005857961,3.431060506e-03,9.324135249e-01,9.323956350e-01
-5.972875435,-7.707417743e-05,9.330975010e-01,9.330859848e-01
-5.939881894,5.167109090e-04,9.337895817e-01,9.337849730e-01
-5.906877335,2.035665553e-03,9.344907069e-01,9.344931794e-01
-5.873861751,-8.072988517e-04,9.352011863e-01,9.352105469e-01
-5.840835139,1.007893425e-03,9.359206798e-01,9.359363818e-01
-5.807797493,-2.803145875e-04,9.366482123e-01,9.366693865e-01
-5.774748808,4.857118346e-04,9.373822217e-01,9.374077239e-01
-5.741689078,-6.566695467e-04,9.381206367e-01,9.381491093e-01
-5.708618300,5.444485314e-06,9.388609828e-01,9.388909265e-01
-5.675536468,1.477027304e-03,9.396005085e-01,9.396303615e-01
-5.642443576,1.001881351e-04,9.403363276e-01,9.403645470e-01
-5.609339620,-5.119344319e-04,9.410655684e-01,9.410907102e-01
-5.576224595,3.178365657e-04,9.417855232e-01,9.418063162e-01
-5.543098496,1.261662327e-04,9.424937898e-01,9.425092004e-01
-5.509961317,1.334038616e-03,9.431883976e-01,9.431976814e-01
-5.476813054,7.140571289e-04,9.438679117e-01,9.438706497e-01
-5.443653701,2.562750236e-04,9.445315096e-01,9.445276271e-01
-5.410483254,1.250865043e-03,9.451790256e-01,9.451687931e-01
-5.377301707,1.528983499e-03,9.458109619e-01,9.457949778e-01
-5.344109055,1.240604786e-03,9.464284634e-01,9.464076199e-01
-5.310905294,1.747941750e-03,9.470332603e-01,9.470086938e-01
-5.277690418,1.551250440e-03,9.476275777e-01,9.476006077e-01
-5.244464422,1.894859898e-03,9.482140210e-01,9.481860788e-01
-5.211227301,1.159614247e-03,9.487954387e-01,9.487679921e-01
-5.177979049,3.580043804e-04,9.493747733e-01,9.493492490e-01
-5.144719663,2.540819483e-03,9.499549060e-01,9.499326152e-01
-5.111449136,1.053082217e-03,9.505385039e-01,9.505205751e-01
-5.078167464,1.238203450e-03,9.511278781e-01,9.511151991e-01
-5.044874642,1.284702061e-03,9.517248596e-01,9.517180340e-01
-5.011570664,2.593312704e-04,9.523307005e-01,9.523300183e-01
-4.978255525,4.551493669e-04,9.529460051e-01,9.529514308e-01
-4.944929221,-2.322878526e-04,9.535706948e-01,9.535818727e-01
