detuning_THz,data,std_pred,cat_pred
6.657775291,-6.103008972e-04,6.991629938e-01,6.942523114e-01
6.695085263,1.234023991e-03,7.073054157e-01,7.023047735e-01
6.732408277,-1.805488876e-03,7.155456349e-01,7.104572116e-01
6.769744340,5.473133453e-05,7.238784022e-01,7.187044555e-01
6.807093457,-1.348264607e-03,7.322984134e-01,7.270412794e-01
6.844455636,8.193430849e-04,7.408003125e-01,7.354624042e-01
6.881830883,3.284581336e-04,7.493786946e-01,7.439625011e-01
6.919219203,6.954530734e-04,7.580281093e-01,7.525361943e-01
6.956620603,2.592667309e-04,7.667430637e-01,7.611780648e-01
6.994035090,1.435286822e-03,7.755180259e-01,7.698826526e-01
7.031462669,-4.031941987e-04,7.843474278e-01,7.786444609e-01
7.068903347,5.528626828e-04,7.932256689e-01,7.874579585e-01
7.106357131,-1.568929081e-03,8.021471192e-01,7.963175836e-01
7.143824027,-6.607919208e-04,8.111061228e-01,8.052177466e-01
7.181304040,-3.124973600e-04,8.200970010e-01,8.141528339e-01
7.218797178,-9.090394533e-04,8.291140559e-01,8.231172107e-01
7.256303446,-3.725723279e-04,8.381515736e-01,8.321052247e-01
7.293822851,-7.580338921e-04,8.472038276e-01,8.411112093e-01
7.331355400,-2.475135427e-04,8.562650825e-01,8.501294867e-01
7.368901098,-4.090380671e-04,8.653295968e-01,8.591543718e-01
7.406459953,-9.569591747e-04,8.743916270e-01,8.681801750e-01
7.444031969,3.677289297e-04,8.834454306e-01,8.772012060e-01
7.481617155,-2.201642382e-04,8.924852696e-01,8.862117767e-01
7.519215515,3.658588918e-04,9.015054139e-01,8.952062053e-01
7.556827057,2.609030141e-04,9.105001450e-01,9.041788190e-01
7.594451787,-3.587807983e-04,9.194637590e-01,9.131239575e-01
7.632089712,-7.381647393e-04,9.283905704e-01,9.220359768e-01
7.669740836,-1.818284611e-04,9.372749151e-01,9.309092519e-01
7.707405168,9.289740574e-04,9.461111544e-01,9.397381809e-01
7.745082713,4.565557304e-04,9.548936776e-01,9.485171876e-01
7.782773478,-1.215258161e-03,9.636169061e-01,9.572407255e-01
7.820477469,-1.291929715e-03,9.722752963e-01,9.659032805e-01
7.858194693,2.943299417e-04,9.808633433e-01,9.744993747e-01
7.895925155,6.928817713e-04,9.893755837e-01,9.830235694e-01
7.933668863,7.288800011e-04,9.978065995e-01,9.914704686e-01
7.971425823,3.511323433e-04,1.006151021e+00,9.998347220e-01
8.009196041,-1.727414794e-03,1.014403530e+00,1.008111028e+00
8.046979523,6.996606587e-04,1.022558863e+00,1.016294138e+00
8.084776277,1.830626861e-04,1.030611815e+00,1.024378858e+00
8.122586308,-2.220342761e-04,1.038557241e+00,1.032360053e+00
8.160409623,-2.648113933e-04,1.046390063e+00,1.040232648e+00
8.198246228,1.172046260e-05,1.054105268e+00,1.047991636e+00
8.236096130,-1.392850986e-04,1.061697913e+00,1.055632073e+00
8.273959335,2.167233685e-04,1.069163131e+00,1.063149091e+00
8.311835850,-8.370429938e-04,1.076496128e+00,1.070537891e+00
8.349725681,-1.062382562e-03,1.083692192e+00,1.077793752e+00
8.387628835,-1.082952979e-03,1.090746693e+00,1.084912034e+00
8.425545318,-1.391976744e-03,1.097655085e+00,1.091888176e+00
8.463475136,-1.428909992e-03,1.104412909e+00,1.098717705e+00
8.501418296,-1.104925924e-03,1.111015798e+00,1.105396234e+00
8.539374805,-7.519562689e-04,1.117459478e+00,1.111919466e+00
8.577344668,-7.613064584e-04,1.123739769e+00,1.118283198e+00
8.615327894,5.792769683e-04,1.129852593e+00,1.124483321e+00
8.653324487,1.232153954e-03,1.135793968e+00,1.130515825e+00
8.691334454,-4.455038064e-04,1.141560019e+00,1.136376800e+00
8.729357802,-4.024929344e-04,1.147146975e+00,1.142062439e+00
8.767394538,-2.694864881e-04,1.152551173e+00,1.147569039e+00
8.805444667,1.493959261e-03,1.157769059e+00,1.152893007e+00
8.843508197,-9.228309829e-04,1.162797194e+00,1.158030855e+00
8.881585134,1.251555597e-03,1.167632251e+00,1.162979211e+00
8.919675485,-2.982383210e-04,1.172271020e+00,1.167734814e+00
8.957779255,-7.313858519e-04,1.176710410e+00,1.172294520e+00
8.995896452,-5.369019092e-04,1.180947450e+00,1.176655301e+00
9.034027081,-1.521416093e-04,1.184979291e+00,1.180814250e+00
