detuning_THz,data,std_pred,cat_pred
-10.106838288,1.857618258e-03,8.245129520e-01,8.247461094e-01
-10.075214766,3.532117618e-04,8.257635639e-01,8.259178157e-01
-10.043580845,-3.850559757e-04,8.269348326e-01,8.270074842e-01
-10.011936518,6.122236618e-04,8.280233973e-01,8.280133353e-01
-9.980281781,1.861951888e-04,8.290274566e-01,8.289351666e-01
-9.948616631,6.905978127e-04,8.299468102e-01,8.297743640e-01
-9.916941061,-2.492633291e-04,8.307828704e-01,8.305338825e-01
-9.885255067,-2.188776288e-04,8.315386420e-01,8.312181961e-01
-9.853558646,-2.220209771e-04,8.322186712e-01,8.318332183e-01
-9.821851791,1.105519788e-03,8.328289644e-01,8.323861943e-01
-9.790134498,1.252628489e-03,8.333768772e-01,8.328855672e-01
-9.758406764,1.905958764e-04,8.338709779e-01,8.333408189e-01
-9.726668582,8.268095724e-04,8.343208852e-01,8.337622920e-01
-9.694919948,-4.613345611e-04,8.347370857e-01,8.341609924e-01
-9.663160859,2.229162027e-03,8.351307325e-01,8.345483787e-01
-9.631391308,4.948719919e-04,8.355134303e-01,8.349361415e-01
-9.599611291,5.432795557e-04,8.358970103e-01,8.353359772e-01
-9.567820804,-2.138482716e-04,8.362932993e-01,8.357593601e-01
-9.536019842,-1.438563827e-04,8.367138882e-01,8.362173180e-01
-9.504208400,8.796178238e-04,8.371699032e-01,8.367202150e-01
-9.472386473,1.178797524e-04,8.376717853e-01,8.372775464e-01
-9.440554057,8.201037627e-04,8.382290821e-01,8.378977489e-01
-9.408711148,1.225176580e-03,8.388502558e-01,8.385880313e-01
-9.376857739,1.905397153e-03,8.395425116e-01,8.393542274e-01
-9.344993828,1.853569626e-04,8.403116504e-01,8.402006759e-01
-9.313119408,4.577804819e-04,8.411619474e-01,8.411301279e-01
-9.281234475,1.391145371e-03,8.420960610e-01,8.421436857e-01
-9.249339025,-6.778735388e-05,8.431149726e-01,8.432407736e-01
-9.217433053,-3.530608811e-05,8.442179593e-01,8.444191408e-01
-9.185516554,1.454431450e-03,8.454026002e-01,8.456748981e-01
-9.153589523,-5.392895989e-04,8.466648159e-01,8.470025858e-01
-9.121651956,-5.244110836e-04,8.479989415e-01,8.483952740e-01
-9.089703848,7.042189887e-04,8.493978308e-01,8.498446912e-01
-9.057745193,1.014572244e-03,8.508529908e-01,8.513413811e-01
-9.025775989,1.849026440e-03,8.523547434e-01,8.528748823e-01
-8.993796228,-6.171021383e-05,8.538924113e-01,8.544339296e-01
-8.961805908,6.864066816e-04,8.554545246e-01,8.560066721e-01
-8.929805023,-3.542511623e-04,8.570290450e-01,8.575809036e-01
-8.897793569,5.416031033e-04,8.586036012e-01,8.591443012e-01
-8.865771540,9.896350143e-04,8.601657331e-01,8.606846684e-01
-8.833738932,3.833879055e-04,8.617031384e-01,8.621901753e-01
-8.801695740,-1.126324563e-04,8.632039183e-01,8.636495944e-01
-8.769641959,7.693910768e-04,8.646568149e-01,8.650525247e-01
-8.737577585,-1.015930171e-05,8.660514388e-01,8.663896011e-01
