detuning_THz,data,std_pred,cat_pred
-10.106838288,1.435799965e-03,8.224331169e-01,8.225756150e-01
-10.075214766,3.626747283e-04,8.235909369e-01,8.236856610e-01
-10.043580845,9.815975575e-04,8.247000965e-01,8.247448330e-01
-10.011936518,-2.205481518e-04,8.257579712e-01,8.257517707e-01
-9.980281781,-1.704115557e-04,8.267631833e-01,8.267063812e-01
-9.948616631,1.500051605e-03,8.277156424e-01,8.276098480e-01
-9.916941061,5.007236276e-04,8.286165535e-01,8.284646063e-01
-9.885255067,7.509087632e-05,8.294683920e-01,8.292742876e-01
-9.853558646,-6.232024573e-04,8.302748470e-01,8.300436332e-01
-9.821851791,9.119275643e-04,8.310407329e-01,8.307783796e-01
-9.790134498,1.485829344e-03,8.317718718e-01,8.314851179e-01
-9.758406764,-6.963057347e-04,8.324749501e-01,8.321711309e-01
-9.726668582,-2.242999849e-06,8.331573518e-01,8.328442120e-01
-9.694919948,-6.065537925e-05,8.338269736e-01,8.335124697e-01
-9.663160859,-2.977607655e-04,8.344920257e-01,8.341841238e-01
-9.631391308,-4.339403918e-04,8.351608234e-01,8.348672969e-01
-9.599611291,8.534223866e-05,8.358415753e-01,8.355698079e-01
-9.567820804,4.236448273e-04,8.365421726e-01,8.362989715e-01
-9.536019842,-3.349543353e-04,8.372699857e-01,8.370614102e-01
-9.504208400,3.343366049e-04,8.380316733e-01,8.378628824e-01
-9.472386473,-2.180388906e-04,8.388330078e-01,8.387081311e-01
-9.440554057,3.477435880e-04,8.396787235e-01,8.396007589e-01
-9.408711148,1.670140272e-03,8.405723901e-01,8.405431304e-01
-9.376857739,-4.515200414e-04,8.415163153e-01,8.415363055e-01
-9.344993828,2.692712822e-04,8.425114796e-01,8.425800067e-01
-9.313119408,2.825553804e-04,8.435575044e-01,8.436726192e-01
-9.281234475,1.041082644e-03,8.446526557e-01,8.448112259e-01
-9.249339025,-2.373069515e-04,8.457938814e-01,8.459916754e-01
-9.217433053,5.130054305e-04,8.469768841e-01,8.472086822e-01
-9.185516554,2.806243915e-04,8.481962250e-01,8.484559564e-01
-9.153589523,8.079207474e-04,8.494454590e-01,8.497263599e-01
-9.121651956,2.536634359e-04,8.507172958e-01,8.510120847e-01
-9.089703848,1.414064849e-03,8.520037834e-01,8.523048499e-01
-9.057745193,1.585676496e-04,8.532965102e-01,8.535961115e-01
-9.025775989,1.237536825e-03,8.545868200e-01,8.548772800e-01
-8.993796228,-5.479491214e-05,8.558660339e-01,8.561399409e-01
-8.961805908,1.080126702e-03,8.571256744e-01,8.573760709e-01
-8.929805023,6.793384324e-04,8.583576857e-01,8.585782459e-01
-8.897793569,1.794072542e-03,8.595546434e-01,8.597398343e-01
-8.865771540,1.805429338e-04,8.607099497e-01,8.608551714e-01
-8.833738932,2.380022514e-04,8.618180077e-01,8.619197088e-01
-8.801695740,5.290961190e-04,8.628743710e-01,8.629301369e-01
-8.769641959,5.476701965e-04,8.638758637e-01,8.638844752e-01
-8.737577585,-2.563067340e-05,8.648206687e-01,8.647821293e-01
-8.705502613,1.063210520e-03,8.657083803e-01,8.656239120e-01
-8.673417038,1.916736454e-03,8.665400211e-01,8.664120285e-01
-8.641320856,1.930669206e-03,8.673180213e-01,8.671500251e-01
-8.609214061,1.205427375e-03,8.680461614e-01,8.678427031e-01
-8.577096649,-5.892192006e-04,8.687294793e-01,8.684959999e-01
-8.544968614,4.346309285e-04,8.693741444e-01,8.691168397e-01
-8.512829953,9.929177774e-04,8.699873011e-01,8.697129580e-01
-8.480680661,3.835405673e-04,8.705768865e-01,8.702927042e-01
-8.448520732,9.485304338e-04,8.711514257e-01,8.708648274e-01
-8.416350161,3.556022920e-04,8.717198119e-01,8.714382502e-01
-8.384168945,6.020045179e-04,8.722910744e-01,8.720218373e-01
-8.351977079,1.446717179e-03,8.728741427e-01,8.726241641e-01
-8.319774556,6.949588024e-04,8.734776117e-01,8.732532922e-01
-8.287561373,7.024881431e-04,8.741095148e-01,8.739165564e-01
-8.255337525,1.375211688e-03,8.747771099e-01,8.746203704e-01
-8.223103007,-3.011619818e-04,8.754866859e-01,8.753700546e-01
-8.190857815,1.354000789e-03,8.762433921e-01,8.761696926e-01
-8.158601943,-1.866868817e-04,8.770510980e-01,8.770220184e-01
-8.126335386,2.907639461e-04,8.779122856e-01,8.779283390e-01
-8.094058140,5.405125714e-04,8.788279776e-01,8.788884937e-01
-8.061770200,-3.281237111e-04,8.797977036e-01,8.799008511e-01
-8.029471561,1.287904190e-03,8.808195062e-01,8.809623460e-01
-7.997162218,8.025688591e-04,8.818899853e-01,8.820685521e-01
-7.964842167,5.497413557e-04,8.830043816e-01,8.832137930e-01
-7.932511403,2.225011715e-03,8.841566960e-01,8.843912843e-01
-7.900169920,7.479458690e-04,8.853398422e-01,8.855933077e-01
-7.867817714,1.464048866e-03,8.865458295e-01,8.868114085e-01
-7.835454780,6.284507246e-04,8.877659697e-01,8.880366152e-01
-7.803081114,1.766584980e-03,8.889911038e-01,8.892596725e-01
-7.770696710,8.668956402e-04,8.902118424e-01,8.904712835e-01
-7.738301563,2.640005069e-03,8.914188135e-01,8.916623543e-01
-7.705895670,2.125109505e-03,8.926029104e-01,8.928242343e-01
-7.673479024,1.612565896e-03,8.937555348e-01,8.939489456e-01
-7.641051620,6.868286305e-04,8.948688264e-01,8.950293965e-01
-7.608613456,1.574765130e-03,8.959358755e-01,8.960595722e-01
-7.576164524,2.422434627e-03,8.969509097e-01,8.970346978e-01
-7.543704821,1.851420761e-03,8.979094523e-01,8.979513699e-01
-7.511234341,6.266378300e-04,8.988084469e-01,8.988076518e-01
-7.478753080,2.485261424e-03,8.996463441e-01,8.996031308e-01
-7.446261032,1.304148233e-03,9.004231494e-01,9.003389352e-01
-7.413758193,1.175267083e-03,9.011404288e-01,9.010177108e-01
-7.381244559,4.893314061e-04,9.018012733e-01,9.016435561e-01
-7.348720123,1.072735802e-03,9.024102225e-01,9.022219200e-01
-7.316184882,2.668356398e-03,9.029731489e-01,9.027594618e-01
-7.283638830,1.751121003e-03,9.034971060e-01,9.032638792e-01
-7.251081962,6.006149334e-04,9.039901440e-01,9.037437071e-01
-7.218514274,2.291165489e-03,9.044610980e-01,9.042080940e-01
