S_fs,absS_fs,fringe_spacing_THz,omega_rad_per_s,s_half_omega,visibility,Vcl_used,q,lambda_eff_inv_s,gamma_inv_s,asymmetry_fraction,Delta,J,pt_unbroken,eta_residual_norm,eta_condition_number
99.999999999909,99.999999999909,19.991482451694537,125610188809225.64,62805094404612.82,0.1686258279982071,0.15979067349594156,0.0,0.0,0.0,0.2388326333361346,14999906083578.213,60987561852038.016,True,1.6028125380978874e-16,1.0
-100.000000000098,100.000000000098,19.991482451694537,125610188809225.64,62805094404612.82,0.1332852099891449,0.15979067349594156,0.18137339981475617,1813733998145.784,906866999072.892,0.2224330235444324,13969927042411.543,61238414654169.77,True,7.011604384755634e-12,1.0285544581777386
-200.000000000007,200.000000000007,19.991482451694537,125610188809225.64,62805094404612.82,0.1095022920922459,0.15979067349594156,0.3779191866373268,1889595933186.5679,944797966593.2839,0.2146090409789387,13478541078765.666,61349013494578.984,True,6.9755293336329204e-12,1.0298205857699185
200.000000000007,200.000000000007,19.991482451694537,125610188809225.64,62805094404612.82,0.1085201609336177,0.15979067349594156,0.38692869724866213,1934643486243.243,967321743121.6215,0.1819767225839871,11429065241329.348,61764002964805.336,True,8.03488591281889e-12,1.0307517952183651
299.999999999916,299.999999999916,19.991482451694537,125610188809225.64,62805094404612.82,0.1036666001736058,0.15979067349594156,0.43268468592532555,1442282286418.1555,721141143209.0778,0.1707324582659444,10722868159324.258,61887155583032.8,True,1.1487016829310391e-11,1.022884684167242
-300.000000000106,300.000000000106,19.991482451694537,125610188809225.64,62805094404612.82,0.0888559237167322,0.15979067349594156,0.5868484446640405,1956161482212.7769,978080741106.3884,0.1975405768845024,12406554579972.852,61575270430284.0,True,7.320430641941052e-12,1.031002479444378
-400.000000000015,400.000000000015,19.991482451694537,125610188809225.64,62805094404612.82,0.108392924163192,0.15979067349594156,0.38810185639636346,970254640990.8722,485127320495.4361,0.2118187219390351,13303294828045.531,61381899436295.69,True,1.3762834175333733e-11,1.0152125231721625
400.000000000015,400.000000000015,19.991482451694537,125610188809225.64,62805094404612.82,0.168657089765607,0.15979067349594156,0.0,0.0,0.0,0.1749303976366068,10986520137803.55,61836690228649.57,True,1.373861858852056e-16,1.0000000000000002
499.999999999924,499.999999999924,19.991482451694537,125610188809225.64,62805094404612.82,0.15406823263763,0.15979067349594156,0.0364690946610523,72938189322.11568,36469094661.05784,0.1860827066706596,11686941959516.652,61708156679664.99,True,2.0839345472785404e-10,1.001141709218534
-500.000000000113,500.000000000113,19.991482451694537,125610188809225.64,62805094404612.82,0.0922680643944475,0.15979067349594156,0.5491665842796665,1098333168559.0846,549166584279.5423,0.2268567031399783,14247756657025.562,61170114413427.43,True,1.1352091422507601e-11,1.0171776837099835
-600.000000000022,600.000000000022,19.991482451694537,125610188809225.64,62805094404612.82,0.1460923751921267,0.15979067349594156,0.08962553959491329,149375899324.84998,74687949662.42499,0.245859123476362,15441205460168.275,60877373755764.32,True,7.701555308334295e-11,1.002308059401183
600.000000000022,600.000000000022,19.991482451694537,125610188809225.64,62805094404612.82,0.1500372650673688,0.15979067349594156,0.06298097099992901,104968284999.87782,52484142499.93891,0.2172856011941905,13646642695764.186,61304582054620.42,True,1.2400982524736525e-10,1.0016327338166966
699.999999999931,699.999999999931,19.991482451694537,125610188809225.64,62805094404612.82,0.1387797040574952,0.15979067349594156,0.14097685501283388,201395507161.2111,100697753580.60555,0.2228790689890522,13997940968669.637,61225384211514.305,True,6.301246785753232e-11,1.0031309041385779
-700.000000000121,700.000000000121,19.991482451694537,125610188809225.64,62805094404612.82,0.1089404955518262,0.15979067349594156,0.383062847227915,547232638896.9268,273616319448.4634,0.265637571823454,16683392775784.146,60549311759519.695,True,1.9457526061529248e-11,1.008435505438111
-800.00000000003,800.00000000003,19.991482451694537,125610188809225.64,62805094404612.82,0.1259908238852658,0.15979067349594156,0.23765559003198197,297069487539.9663,148534743769.98315,0.2964233436673651,18616896082759.855,59982606862207.62,True,3.212001646167226e-11,1.004527654357684
800.00000000003,800.00000000003,19.991482451694537,125610188809225.64,62805094404612.82,0.1817467490416701,0.15979067349594156,0.0,0.0,0.0,0.2548353396875968,16004957566711.094,60731550420354.875,True,2.9501191235952047e-16,1.0
899.999999999939,899.999999999939,19.991482451694537,125610188809225.64,62805094404612.82,0.1017530945834285,0.15979067349594156,0.4513154305675122,501461589519.492,250730794759.746,0.2741328187511166,17216937561066.494,60399667301419.03,True,2.0575469297201903e-11,1.0077080783960888
-900.000000000128,900.000000000128,19.991482451694537,125610188809225.64,62805094404612.82,0.1492818782398329,0.15979067349594156,0.06802834901175062,75587054457.48993,37793527228.744965,0.3210226756902542,20161859452747.82,59480927488823.45,True,1.1656332846166167e-10,1.0011404672791324
-1000.00000000003,1000.00000000003,19.991482451694537,125610188809225.64,62805094404612.82,0.1557407404673277,0.15979067349594156,0.025671963376927454,25671963376.92668,12835981688.46334,0.3443663810579576,21627963072119.9,58963643555039.68,True,3.1993751805320437e-10,1.0003838282821436
1000.00000000003,1000.00000000003,19.991482451694537,125610188809225.64,62805094404612.82,0.1561057875107666,0.15979067349594156,0.023330765528439174,23330765528.438473,11665382764.219236,0.2958782999975268,18582664563621.023,59993037904155.41,True,4.0973484312067115e-10,1.000354909106918
1099.99999999994,1099.99999999994,19.991482451694537,125610188809225.64,62805094404612.82,0.1488562311680605,0.15979067349594156,0.07088371937560244,64439744886.91482,32219872443.45741,0.3147439271426483,19767522057472.605,59613136077544.55,True,1.3945493221509053e-10,1.000974355518257
-1100.00000000013,1100.00000000013,19.991482451694537,125610188809225.64,62805094404612.82,0.1793857242658825,0.15979067349594156,0.0,0.0,0.0,0.365520758851528,22956565766515.934,58459182096399.17,True,3.298039985245848e-16,1.0000000000000002
-1200.00000000004,1200.00000000004,19.991482451694537,125610188809225.64,62805094404612.82,0.1430444684697817,0.15979067349594156,0.11070911778464929,92257598153.87132,46128799076.93566,0.3685013121542398,23143759698070.73,58385344034923.61,True,8.319628386698968e-11,1.001366509452652
1200.00000000004,1200.00000000004,19.991482451694537,125610188809225.64,62805094404612.82,0.1633381809085954,0.15979067349594156,0.0,0.0,0.0,0.3344548410471544,21005467866046.31,59188260684875.89,True,2.510390066221604e-17,1.0
-1299.99999999995,1299.99999999995,19.991482451694537,125610188809225.64,62805094404612.82,0.1617804801214165,0.15979067349594156,0.0,0.0,0.0,0.3613289253649484,22693297268662.883,58561883014879.45,True,2.0950031337681998e-16,1.0
1299.99999999995,1299.99999999995,19.991482451694537,125610188809225.64,62805094404612.82,0.1339303418556857,0.15979067349594156,0.17654484013308175,135803723179.29887,67901861589.64944,0.3360293911023865,21104357630909.95,59153111353687.805,True,6.198067557617724e-11,1.0020386443917086
