detune_THz,I_norm
-9.866666666598968405e+00,5.203875173192586967e-01
-9.699999999932250816e+00,2.420256716299297728e-01
-9.533333333265531451e+00,5.399377941389871954e-02
-9.366666666598844060e+00,1.778311513172854338e-03
-9.199999999932124695e+00,9.376999180499695496e-02
-9.033333333265407106e+00,3.000067213967457791e-01
-8.866666666598687740e+00,5.610979304035454973e-01
-8.699999999931968375e+00,8.047045215706019050e-01
-8.533333333265250786e+00,9.650170187504143460e-01
-8.366666666598531421e+00,1.000000000000000000e+00
-8.199999999931812056e+00,9.018974962848241850e-01
-8.033333333265094467e+00,6.983946778846834569e-01
-7.866666666598375102e+00,4.443709399325555531e-01
-7.699999999931656625e+00,2.066712059117491451e-01
-7.533333333264937259e+00,4.610646124077975860e-02
-7.366666666598218782e+00,1.518562887528634347e-03
-7.199999999931500305e+00,8.007240824906158849e-02
-7.033333333264780940e+00,2.561826027833660757e-01
-6.866666666598062463e+00,4.791342505326490753e-01
-6.699999999931343986e+00,6.871554662404355529e-01
-6.533333333264624621e+00,8.240501470407887163e-01
-6.366666666597906143e+00,8.539232438723658447e-01
-6.199999999931187666e+00,7.701516210109616845e-01
-6.033333333264469189e+00,5.963760976976626438e-01
-5.866666666597749824e+00,3.794593279878431535e-01
-5.699999999931031347e+00,1.764817757965465583e-01
-5.533333333264312870e+00,3.937151434933156002e-02
-5.366666666597593505e+00,1.296715626455079151e-03
-5.199999999930875028e+00,6.837575752132410423e-02
-5.033333333264156551e+00,2.187606157279192443e-01
-4.866666666597437185e+00,4.091444881529736066e-01
-4.699999999930718708e+00,5.867787426103623361e-01
-4.533333333264000231e+00,7.036761248445454475e-01
-4.366666666597280866e+00,7.291850860518430677e-01
-4.199999999930562389e+00,6.576502291280674761e-01
-4.033333333263843912e+00,5.092590652211478330e-01
-3.866666666597124991e+00,3.240288042914871158e-01
-3.699999999930406069e+00,1.507017156013684966e-01
-3.533333333263718679e+00,3.362022431502138808e-02
-3.366666666597000201e+00,1.107294699116840144e-03
-3.199999999930281280e+00,5.838755891392716918e-02
-3.033333333263562359e+00,1.868045859781012064e-01
-2.866666666596843882e+00,3.493778128339672384e-01
-2.699999999930124961e+00,5.010639739875079046e-01
-2.533333333263406040e+00,6.008855690199833566e-01
-2.366666666596687563e+00,6.226684361608227913e-01
-2.199999999929968642e+00,5.615831731876324007e-01
-2.033333333263250164e+00,4.348684450703285131e-01
-1.866666666596531243e+00,2.766959058940914873e-01
-1.699999999929812544e+00,1.286877624694883759e-01
-1.533333333263093845e+00,2.870909488001442689e-02
-1.366666666596374924e+00,9.455456319045619888e-04
-1.199999999929656225e+00,4.985854202530577012e-02
-1.033333333262937526e+00,1.595169015176667593e-01
-8.666666665962187155e-01,2.983420071470693213e-01
-6.999999999295000164e-01,4.278703446118874987e-01
-5.333333332627812062e-01,5.131102900771542519e-01
-3.666666665960625071e-01,5.317111278533548369e-01
-1.999999999293437525e-01,4.795489647748313877e-01
-3.333333326262499785e-02,3.713443167801648293e-01
1.333333334040937568e-01,2.362771210836098756e-01
3.000000000708125114e-01,1.098895225242795537e-01
4.666666667375312660e-01,2.451538329811175226e-02
6.333333334042500207e-01,8.074195617380906971e-04
8.000000000709687198e-01,4.257538228524690438e-02
9.666666667376875299e-01,1.362152719774538112e-01
1.133333333404406229e+00,2.547613475494485136e-01
1.300000000071124928e+00,3.653686882630380328e-01
1.466666666737843849e+00,4.381570798334169514e-01
1.633333333404562548e+00,4.540407422062969767e-01
1.800000000071281248e+00,4.094981630631782110e-01
1.966666666737999947e+00,3.170995728202822828e-01
2.133333333404718868e+00,2.017624547475739549e-01
2.300000000071406259e+00,9.383711222466918633e-02
2.466666666738125180e+00,2.093419666633376461e-02
2.633333333404843657e+00,6.894865033444362318e-04
2.800000000071562578e+00,3.635615169613301556e-02
2.966666666738281055e+00,1.163173986699618662e-01
3.133333333404999976e+00,2.175465905417300339e-01
3.300000000071718897e+00,3.119967537312755002e-01
3.466666666738437375e+00,3.741524668418557686e-01
3.633333333405156296e+00,3.877159683402653378e-01
3.800000000071875217e+00,3.496800822902146333e-01
3.966666666738593694e+00,2.707788205590259678e-01
4.133333333405312615e+00,1.722897702668464148e-01
4.300000000072031092e+00,8.012976140064596853e-02
4.466666666738749569e+00,1.787621988382397803e-02
4.633333333405468935e+00,5.887681154946892634e-04
4.800000000072187412e+00,3.104537776716127448e-02
4.966666666738905889e+00,9.932618357463321446e-02
5.133333333405625254e+00,1.857681817431339755e-01
5.300000000072343731e+00,2.664213619382285181e-01
5.466666666739062208e+00,3.194975700970751897e-01
5.633333333405781573e+00,3.310797286620169588e-01
5.800000000072500050e+00,2.985999874782579999e-01
5.966666666739218527e+00,2.312243491466766387e-01
6.133333333405937893e+00,1.471222522604440364e-01
6.300000000072656370e+00,6.842468310412770649e-02
6.466666666739374847e+00,1.526492820590093571e-02
6.633333333406093324e+00,5.027616923675128297e-04
6.800000000072812689e+00,2.651036110875336013e-02
6.966666666739531166e+00,8.481692357033895902e-02
7.133333333406249643e+00,1.586317653684971851e-01
7.300000000072969009e+00,2.275034236233335339e-01
7.466666666739687486e+00,2.728264721176764107e-01
7.633333333406405963e+00,2.827167833981433231e-01
7.800000000073125328e+00,2.549815994958207765e-01
7.966666666739843805e+00,1.974479743842339208e-01
