freq_THz,vg_m_per_s,lambda_geom_inv_s
203.05,548838372.8218647,33830309176.886337
203.1,546907103.3223118,33949772690.66568
203.15,544980546.8361431,34069788267.663548
203.2,543058691.2545033,34190359421.024967
203.25,541141524.5390148,34311489691.204132
203.3,539229034.721741,34433182646.19085
203.35,537321209.9040505,34555441881.80934
203.4,535418038.25758666,34678271021.88558
203.45,533519508.0228295,34801673718.57074
203.5,531625607.50931895,34925653652.561165
203.55,529736325.0949855,35050214533.378716
203.6,527851649.2256488,35175360099.64348
203.65,525971568.41605043,35301094119.24688
203.7,524096071.247848,35427420389.72904
203.75,522225146.3702982,35554342738.48082
203.8,520358782.499186,35681865023.06596
203.85,518496968.4173261,35809991131.43985
203.9,516639692.97408915,35938724982.2365
203.95,514786945.08457005,36068070525.08415
204.0,512938713.7304603,36198031740.80501
204.05,511094987.9575807,36328612641.85187
204.1,509255756.87830055,36459817272.40451
204.15,507421009.66876364,36591649708.83523
204.2,505590735.5705057,36724114059.86619
204.25,503764923.88994545,36857214466.879395
204.3,501943563.9957418,36990955104.38781
204.35,500126645.32153094,37125340180.117676
204.4,498314157.36492527,37260373935.363914
204.45,496506089.6860952,37396060645.38241
204.5,494702431.9077609,37532404619.68226
204.55,492903173.7159455,37669410202.26228
204.6,491108304.85952055,37807081771.94033
204.65,489317815.14829415,37945423742.799576
204.7,487531694.4547028,38084440564.362144
204.75,485749932.71285343,38224136721.968056
204.8,483972519.91834146,38364516737.09839
204.85,482199446.1270432,38505585167.7835
204.9,480430701.45673895,38647346608.790405
204.95,478666276.08541447,38789805692.076126
205.0,476906160.2507942,38932967087.14925
205.05,475150344.2519795,39076835501.262596
205.1,473398818.44676423,39221415679.96092
205.15,471651573.2531467,39366712407.29084
205.2,469908599.14893484,39512730506.16823
205.25,468169886.66996783,39659474838.867195
205.3,466435426.41174835,39806950307.22741
205.35,464705209.0284996,39955161853.07961
205.4,462979225.2327088,40104114458.6354
205.45,461257465.7949034,40253813146.86149
205.5,459539921.54410714,40404262981.797935
205.55,457826583.3667099,40555469069.01822
205.6,456117442.20672536,40707436555.97287
205.65,454412489.065887,40860170632.349724
205.7,452711715.0024298,41013676530.55596
205.75,451015111.13163596,41167959526.04726
205.8,449322668.62594557,41323024937.697845
205.85,447634378.7139136,41478878128.280304
205.9,445950232.68019325,41635524504.85706
205.95,444270221.86610824,41792969519.119896
206.0,442594337.66830856,41951218667.912
206.05,440922571.53899586,42110277493.60925
206.1,439254914.9861282,42270151584.505905
206.15,437591359.5731424,42430846575.24962
206.2,435931896.91834587,42592368147.31347
206.25,434276518.6944455,42754722029.46066
206.3,432625216.62943566,42917913998.0801
206.35,430977982.5054082,43081949877.7293
206.4,429334808.15925556,43246835541.49561
206.45,427695685.48149586,43412576911.54849
206.5,426060606.4164473,43579179959.56299
206.55,424429562.9628993,43746650707.09489
206.6,422802547.1725165,43914995226.19203
206.65,421179551.1503991,44084219639.79127
206.7,419560567.05538005,44254330122.14441
206.75,417945587.0989253,44425332899.39512
206.8,416334603.5454782,44597234250.010376
206.85,414727608.7119915,44770040505.301994
206.9,413124594.96822,44943758049.87163
206.95,411525554.73603064,45118393322.16627
207.0,409930480.4893984,45293952814.96537
207.05,408339364.7549458,45470443075.81175
207.1,406752200.11085725,45647870707.62616
207.15,405168979.18641084,45826242369.2619
207.2,403589694.6632788,46005564775.86461
207.25,402014339.27410567,46185844699.54215
207.3,400442905.8029041,46367088969.83595
207.35,398875387.0848723,46549304474.26215
207.4,397311776.0058324,46732498158.902626
207.45,395752065.5027591,46916677028.8744
207.5,394196248.5633246,47101848148.91811
207.55,392644318.22512275,47288018644.03214
207.6,391096267.576774,47475195699.88745
207.65,389552089.7569781,47663386563.49178
207.7,388011777.954301,47852598543.77335
207.75,386475325.40739816,48042839012.11631
207.8,384942725.4045728,48234115402.98283
207.85,383413971.2841635,48426435214.4379
207.9,381889056.43401206,48619806008.793594
207.95,380367974.290989,48814235413.254036
208.0,378850718.34139097,49009731120.455246
208.05,377337282.1210706,49206300889.042435
208.1,375827659.21459526,49403952544.37897
208.15,374321843.25564677,49602693979.1011
208.2,372819827.9266086,49802533153.78379
208.25,371321606.9581714,50003478097.61167
208.3,369827174.13028336,50205536908.87503
208.35,368336523.2709049,50408717755.76522
208.4,366849648.25648224,50613028876.946205
208.45,365366543.0119888,50818478582.188194
208.5,363887201.50970894,51025075253.18253
208.55,362411617.77031094,51232827344.04644
208.6,360939785.86321175,51441743381.92664
