detune_THz,I_norm
-9.866666666598968405e+00,1.000000000000000000e+00
-9.699999999932250816e+00,9.072180274014258750e-01
-9.533333333265531451e+00,8.013347851787708809e-01
-9.366666666598844060e+00,6.869649640410628866e-01
-9.199999999932124695e+00,5.689749228938064673e-01
-9.033333333265407106e+00,4.522654311984464215e-01
-8.866666666598687740e+00,3.415584428553242735e-01
-8.699999999931968375e+00,2.411972552367432909e-01
-8.533333333265250786e+00,1.549681727266134235e-01
-8.366666666598531421e+00,8.595098715791479882e-02
-8.199999999931812056e+00,3.640389634981151812e-02
-8.033333333265094467e+00,7.687005142020176228e-03
-7.866666666598375102e+00,2.267083824473285520e-04
-7.699999999931656625e+00,1.352142443964535375e-02
-7.533333333264937259e+00,4.618736114132486470e-02
-7.366666666598218782e+00,9.604132015209830564e-02
-7.199999999931500305e+00,1.602159758753895213e-01
-7.033333333264780940e+00,2.353017718135089753e-01
-6.866666666598062463e+00,3.175086562178805472e-01
-6.699999999931343986e+00,4.028399801966384142e-01
-6.533333333264624621e+00,4.872708941311088560e-01
-6.366666666597906143e+00,5.669233223333735028e-01
-6.199999999931187666e+00,6.382299939178631698e-01
-6.033333333264469189e+00,6.980808382931762424e-01
-5.866666666597749824e+00,7.439457933841072679e-01
-5.699999999931031347e+00,7.739692614651917379e-01
-5.533333333264312870e+00,7.870329663609831883e-01
-5.366666666597593505e+00,7.827851514234097641e-01
-5.199999999930875028e+00,7.616358251720588557e-01
-5.033333333264156551e+00,7.247191651468137819e-01
-4.866666666597437185e+00,6.738255343415784360e-01
-4.699999999930718708e+00,6.113068609764837902e-01
-4.533333333264000231e+00,5.399601583715900599e-01
-4.366666666597280866e+00,4.628949195980648912e-01
-4.199999999930562389e+00,3.833902072189280807e-01
-4.033333333263843912e+00,3.047483117596479496e-01
-3.866666666597124991e+00,2.301510329399334420e-01
-3.699999999930406069e+00,1.625250169655331756e-01
-3.533333333263718679e+00,1.044215979943892286e-01
-3.366666666597000201e+00,5.791601589935720801e-02
-3.199999999930281280e+00,2.452989790176746468e-02
-3.033333333263562359e+00,5.179714181718940436e-03
-2.866666666596843882e+00,1.527585534881092846e-04
-2.699999999930124961e+00,9.111048331967845637e-03
-2.533333333263406040e+00,3.112216231845041717e-02
-2.366666666596687563e+00,6.471503167814557367e-02
-2.199999999929968642e+00,1.079575996468212784e-01
-2.033333333263250164e+00,1.585524227198657765e-01
-1.866666666596531243e+00,2.139456236744646245e-01
-1.699999999929812544e+00,2.714441195260212103e-01
-1.533333333263093845e+00,3.283358289891501469e-01
-1.366666666596374924e+00,3.820075939618022831e-01
-1.199999999929656225e+00,4.300557390405413405e-01
-1.033333333262937526e+00,4.703846674078896450e-01
-8.666666665962187155e-01,5.012896081686107896e-01
-6.999999999295000164e-01,5.215202257171998035e-01
-5.333333332627812062e-01,5.303229601911896296e-01
-3.666666665960625071e-01,5.274607668344458711e-01
-1.999999999293437525e-01,5.132098839113828914e-01
-3.333333326262499785e-02,4.883345254832649474e-01
1.333333334040937568e-01,4.540410673103973394e-01
3.000000000708125114e-01,4.119143163245366224e-01
4.666666667375312660e-01,3.638389941320928078e-01
6.333333334042500207e-01,3.119103613318541246e-01
8.000000000709687198e-01,2.583379615303066923e-01
9.666666667376875299e-01,2.053469847751761557e-01
1.133333333404406229e+00,1.550814244347033244e-01
1.300000000071124928e+00,1.095133170096189573e-01
1.466666666737843849e+00,7.036180013935015853e-02
1.633333333404562548e+00,3.902520863839263610e-02
1.800000000071281248e+00,1.652883795016187388e-02
1.966666666737999947e+00,3.490214994922885561e-03
2.133333333404718868e+00,1.029332513129330005e-04
2.300000000071406259e+00,6.139258258560339673e-03
2.466666666738125180e+00,2.097090964363521742e-02
2.633333333404843657e+00,4.360664986530624759e-02
2.800000000071562578e+00,7.274460121963795267e-02
2.966666666738281055e+00,1.068366854127866666e-01
3.133333333404999976e+00,1.441620300434792723e-01
3.300000000071718897e+00,1.829059461964276934e-01
3.466666666738437375e+00,2.212409885043461755e-01
3.633333333405156296e+00,2.574063480317964614e-01
3.800000000071875217e+00,2.897823724606861662e-01
3.966666666738593694e+00,3.169570076166398076e-01
4.133333333405312615e+00,3.377815230782043043e-01
4.300000000072031092e+00,3.514134461984915192e-01
4.466666666738749569e+00,3.573449830758759216e-01
4.633333333405468935e+00,3.554163826144478011e-01
4.800000000072187412e+00,3.458137965340037367e-01
4.966666666738905889e+00,3.290521469693312717e-01
5.133333333405625254e+00,3.059443334996659325e-01
5.300000000072343731e+00,2.775582418862314049e-01
5.466666666739062208e+00,2.451638699617238737e-01
5.633333333405781573e+00,2.101730689934382945e-01
5.800000000072500050e+00,1.740746727603681987e-01
5.966666666739218527e+00,1.383680513416374047e-01
6.133333333405937893e+00,1.044978641396147462e-01
6.300000000072656370e+00,7.379292324979321027e-02
6.466666666739374847e+00,4.741162732195933899e-02
6.633333333406093324e+00,2.629621732915192814e-02
6.800000000072812689e+00,1.113757178222793756e-02
6.966666666739531166e+00,2.351803216721091126e-03
7.133333333406249643e+00,6.935824289044696808e-05
7.300000000072969009e+00,4.136785704776864067e-03
7.466666666739687486e+00,1.413073149948212287e-02
7.633333333406405963e+00,2.938326750431281831e-02
7.800000000073125328e+00,4.901715735909690369e-02
7.966666666739843805e+00,7.198926165653793396e-02
8.133333333406563170e+00,9.714001510856896948e-02
8.300000000073250561e+00,1.232466490933177283e-01
8.466666666739968150e+00,1.490777768487606403e-01
8.633333333406687515e+00,1.734469149688705192e-01
8.800000000073406881e+00,1.952626981699606135e-01
8.966666666740124469e+00,2.135736400603707175e-01
9.133333333406843835e+00,2.276057199779838447e-01
9.300000000073563200e+00,2.367912404941634463e-01
9.466666666740280789e+00,2.407880679933776524e-01
9.633333333407000154e+00,2.394885613488577092e-01
9.800000000073719519e+00,2.330181248659851656e-01
9.966666666740437108e+00,2.217237424635790932e-01
