separation_fs,V_standard,V_coherence,V_amplitude
4.000000000000000000e+02,9.841210616212607842e-01,7.925378785037040519e-01,nan
6.000000000000000000e+02,9.687909072436493574e-01,7.371238622660736262e-01,nan
8.000000000000000000e+02,9.524208783299059622e-01,6.155410592688166371e-01,nan
1.000000000000000000e+03,9.170218468601889494e-01,5.081506659972516715e-01,nan
1.200000000000000000e+03,8.694944784952165495e-01,4.208047314850036358e-01,nan
