f_THz,eps_real,eps_imag
150.0,-4.932260545257442,0.9371319496354937
150.1000500250125,-4.920620947310752,0.9352731226075457
150.20010005002501,-4.909004257082499,0.9334191992983264
150.30015007503752,-4.89741041472657,0.9315701635778991
150.40020010005003,-4.885839360591415,0.9297259993798344
150.50025012506254,-4.874291035219292,0.9278866907009227
150.60030015007504,-4.8627653793455,0.9260522216008802
150.70035017508755,-4.8512623338976475,0.924222576202065
150.80040020010006,-4.83978183999489,0.9223977386891872
150.90045022511256,-4.8283238389472025,0.9205776933090255
151.00050025012507,-4.816888272254637,0.9187624243701457
151.10055027513758,-4.805475081606579,0.9169519162426136
151.20060030015009,-4.794084208881031,0.9151461533577213
151.3006503251626,-4.78271559614387,0.913345120207701
151.4007003501751,-4.7713691856481155,0.911548801345452
151.5007503751876,-4.760044919833243,0.9097571813842643
151.6008004002001,-4.748742741324419,0.9079702449975415
151.7008504252126,-4.737462592931816,0.9061879769185291
151.8009004502251,-4.72620441764988,0.9044103619400415
151.9009504752376,-4.714968158656649,0.9026373849141939
152.00100050025011,-4.703753759313017,0.9008690307521303
152.10105052526262,-4.692561163162047,0.8991052844237574
152.20110055027513,-4.681390313928265,0.8973461309574782
152.30115057528764,-4.670241155516967,0.895591555439926
152.40120060030014,-4.659113632013526,0.8938415430157022
152.50125062531265,-4.648007687682696,0.8920960788871133
152.60130065032516,-4.636923266967932,0.8903551483139102
152.70135067533766,-4.6258603144906925,0.8886187366130283
152.80140070035017,-4.614818775049773,0.8868868291583294
152.90145072536268,-4.603798593620626,0.8851594113803463
153.0015007503752,-4.592799715354669,0.8834364687660247
153.1015507753877,-4.5818220855786365,0.8817179868584715
153.2016008004002,-4.5708656497938875,0.8800039512566996
153.3016508254127,-4.55993035367576,0.8782943476153782
153.40170085042521,-4.549016143072885,0.876589161644581
153.50175087543772,-4.538122964006551,0.8748883791095379
153.60180090045023,-4.527250762670025,0.8731919858303876
153.70185092546274,-4.516399485427911,0.8714999676819303
153.80190095047524,-4.5055690788154905,0.8698123105933827
153.90195097548775,-4.49475948953808,0.8681290005481345
154.00200100050026,-4.483970664470377,0.866450023583504
154.10205102551276,-4.473202550655827,0.8647753657905001
154.20210105052527,-4.46245509530597,0.8631050133135775
154.30215107553778,-4.451728245799819,0.8614389523504008
154.4022011005503,-4.441021949683213,0.8597771691516064
154.5022511255628,-4.430336154668183,0.8581196500205642
154.6023011505753,-4.4196708086323415,0.8564663813131452
154.7023511755878,-4.409025859618231,0.8548173494374828
154.8024012006003,-4.3984012558327255,0.8531725408537454
154.9024512256128,-4.3877969456463735,0.8515319420738975
155.0025012506253,-4.377212877592829,0.8498955396614774
155.1025512756378,-4.366649000368193,0.8482633202313602
155.20260130065031,-4.356105262830429,0.8466352704495352
155.30265132566282,-4.345581613998732,0.8450113770328743
155.40270135067533,-4.335078003052933,0.8433916267489087
