t_s,tau_ent_s,dt_s,dtau_s,lambda_s_inv,passed_cfl,n_reductions,S_00,S_11,Lambda_00,Lambda_11
1e-27,1e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2e-27,2e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3e-27,3.0000000000000002e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4e-27,4e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5e-27,5.000000000000001e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6e-27,6.000000000000001e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7e-27,7.000000000000002e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8e-27,8.000000000000002e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9e-27,9.000000000000003e-15,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1e-26,1.0000000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.1e-26,1.1000000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.2e-26,1.2000000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.3e-26,1.3000000000000005e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.4e-26,1.4000000000000005e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.5e-26,1.5000000000000006e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.6e-26,1.6000000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.7e-26,1.7000000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.8e-26,1.8000000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.9e-26,1.9e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2e-26,2e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.1e-26,2.1e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.2e-26,2.1999999999999998e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.3e-26,2.2999999999999997e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.4e-26,2.3999999999999996e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.5e-26,2.4999999999999994e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.6e-26,2.5999999999999993e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.7000000000000004e-26,2.6999999999999992e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.8e-26,2.799999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.9e-26,2.899999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
2.9999999999999995e-26,2.999999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.099999999999999e-26,3.0999999999999994e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.199999999999999e-26,3.1999999999999996e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.2999999999999987e-26,3.3e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.3999999999999984e-26,3.4e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.499999999999998e-26,3.5e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.599999999999998e-26,3.6000000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.6999999999999976e-26,3.7000000000000006e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.799999999999997e-26,3.800000000000001e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.899999999999997e-26,3.900000000000001e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
3.9999999999999967e-26,4.000000000000001e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.0999999999999964e-26,4.1000000000000015e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.199999999999996e-26,4.2000000000000017e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.299999999999996e-26,4.300000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.3999999999999956e-26,4.400000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.4999999999999953e-26,4.500000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.599999999999995e-26,4.6000000000000025e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.699999999999995e-26,4.700000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.7999999999999944e-26,4.800000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.899999999999994e-26,4.900000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
4.999999999999994e-26,5.000000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.0999999999999936e-26,5.1000000000000035e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.199999999999993e-26,5.200000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.299999999999993e-26,5.300000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.399999999999993e-26,5.400000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.499999999999992e-26,5.5000000000000043e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.599999999999992e-26,5.6000000000000045e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.699999999999992e-26,5.700000000000005e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.799999999999992e-26,5.800000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.899999999999991e-26,5.900000000000004e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
5.999999999999991e-26,6.000000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.099999999999991e-26,6.100000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.19999999999999e-26,6.200000000000003e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.29999999999999e-26,6.300000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.39999999999999e-26,6.400000000000002e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.49999999999999e-26,6.500000000000001e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.599999999999989e-26,6.600000000000001e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.699999999999989e-26,6.7e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.799999999999989e-26,6.8e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.899999999999988e-26,6.9e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
6.999999999999988e-26,6.999999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.099999999999988e-26,7.099999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.199999999999988e-26,7.199999999999998e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.299999999999987e-26,7.299999999999998e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.399999999999987e-26,7.399999999999997e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.499999999999987e-26,7.499999999999997e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.599999999999987e-26,7.599999999999997e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.699999999999986e-26,7.699999999999996e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.799999999999986e-26,7.799999999999996e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.899999999999986e-26,7.899999999999995e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
7.999999999999985e-26,7.999999999999995e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.099999999999985e-26,8.099999999999995e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.199999999999985e-26,8.199999999999994e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.299999999999985e-26,8.299999999999994e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.399999999999984e-26,8.399999999999993e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.499999999999984e-26,8.499999999999993e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.599999999999984e-26,8.599999999999992e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.699999999999983e-26,8.699999999999992e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.799999999999983e-26,8.799999999999992e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.899999999999983e-26,8.899999999999991e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
8.999999999999983e-26,8.999999999999991e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.099999999999982e-26,9.09999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.199999999999982e-26,9.19999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.299999999999982e-26,9.29999999999999e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.399999999999981e-26,9.399999999999989e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.499999999999981e-26,9.499999999999989e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.599999999999981e-26,9.599999999999988e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.69999999999998e-26,9.699999999999988e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.79999999999998e-26,9.799999999999987e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.89999999999998e-26,9.899999999999987e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
9.99999999999998e-26,9.999999999999986e-14,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.009999999999998e-25,1.0099999999999986e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.0199999999999979e-25,1.0199999999999986e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.0299999999999979e-25,1.0299999999999985e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.039999999999998e-25,1.0399999999999985e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.049999999999998e-25,1.0499999999999984e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.059999999999998e-25,1.0599999999999984e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
1.069999999999998e-25,1.0699999999999983e-13,1e-27,1e-15,1000000000000.0,True,0,0.0,0.0,0.0,0.0
