slit_separation_fs,V,Vcl_est,phi_proxy,rho12_re,rho12_im,K00,K01_re,K01_im,K11,eta00,eta01_re,eta01_im,eta11,pseudoherm_resid,cond_eta
-1299.99999999995,0.1617804801214165,0.15979067349594156,0.36969271572548795,0.07542516766176198,0.029227983513648408,0.7064079460021052,-0.15218746166481806,-0.05897411644440212,0.7064079460021058,-0.6463290353946743,-0.41742695052986944,-0.0004963553709314924,-0.63875916635808,0.12368191455799049,4.708973509705801
-1200.00000000004,0.1430444684697817,0.15979067349594156,0.3773963660503237,0.06648901634836453,0.026356037163760164,0.7034841611380923,-0.13389631959937562,-0.05307608037035811,0.7034841611380925,-0.6541123743075893,-0.39147588180242493,-0.0004567089216832225,-0.6472120418840047,0.12639991366527167,4.021106281204405
-1100.00000000013,0.1793857242658825,0.15979067349594156,0.3741922142292143,0.08348640201696331,0.032784603030398166,0.7095013666330767,-0.16879921868105904,-0.06628642800028028,0.7095013666330767,-0.6401210473576877,-0.43726108045588336,-0.0005474418185989285,-0.6317020599568325,0.12117900615381721,5.40298015463289
-1000.00000000003,0.1557407404673277,0.15979067349594156,0.3515638025840794,0.07310745551276009,0.02681593758901012,0.705424270494929,-0.14741457511377376,-0.054071913982445215,0.7054242704949288,-0.6480450620256426,-0.41115807207938115,-0.00045754101984996174,-0.6410822318566962,0.1243601649389714,4.523476081075171
-900.000000000128,0.1492818782398329,0.15979067349594156,0.32680911938907764,0.07069030678767278,0.02396143399230895,0.7044157522769774,-0.1424451097290549,-0.04828369332943903,0.704415752276978,-0.6498461555683039,-0.4043133174744525,-0.0004108739129723142,-0.6436074475847261,0.12505867866182993,4.336002368683393
-800.00000000003,0.1259908238852658,0.15979067349594156,0.30094549851659774,0.060164186983823406,0.01867331064373831,0.7011476925664045,-0.12097119251603727,-0.037546134503617656,0.7011476925664045,-0.6593135915195831,-0.3702506606746918,-0.0003280755346213067,-0.6543851531567217,0.12815558478457684,3.5838901104626184
-700.000000000121,0.1089404955518262,0.15979067349594156,0.26886519362867084,0.052513293237828815,0.01446934435581545,0.6991166899948374,-0.10544505667395083,-0.029053992647613908,0.6991166899948376,0.666739302551109,0.34066176605699566,0.00025891887445119626,0.6628787193292645,0.13027937525058803,3.1019656318162045
-600.000000000022,0.1460923751921267,0.15979067349594156,0.24840592187643265,0.07080407663112499,0.017959071655658042,0.7039341990836907,-0.14262870117354176,-0.036176999777482656,0.7039341990836904,-0.6489336838375082,-0.4047391101259133,-0.00030751570412405297,-0.6442602208328994,0.12492407724605106,4.347069111850332
-500.000000000113,0.0922680643944475,0.15979067349594156,0.2288490209362482,0.04493123250857136,0.01046581444681579,0.697422101390095,-0.09011878717442241,-0.020991333913657106,0.6974221013900952,0.6744526269809444,0.30664131206348116,0.00019075143898178041,0.6716284116283185,0.13224832171200607,2.6738431065604185
-400.000000000015,0.108392924163192,0.15979067349594156,0.21343553446649297,0.052966688706342496,0.011479825331741042,0.6990564761769484,-0.10635119811880052,-0.02305020774460873,0.6990564761769485,0.6658485186001349,0.34257524067754097,0.00020512119323838854,0.662787984710063,0.13012364131164358,3.129540737482931
