param_name,param_value,V_std,V_cat,fringe_std,fringe_cat
probe_fwhm_fs,200,nan,nan,19.911111111117407,19.911111111117407
probe_fwhm_fs,300,0.9502456539494539,0.6384458976177234,19.911111111117407,19.911111111117407
probe_fwhm_fs,400,0.9531984709016357,0.567909458550661,19.911111111117407,19.911111111117407
probe_fwhm_fs,500,0.9540772349289006,0.5727308153229554,19.911111111117407,19.911111111117407
probe_fwhm_fs,600,0.9588796434679727,0.6036724084394421,19.911111111117407,19.911111111117407
probe_fwhm_fs,700,0.9522027525017249,0.6128409907442571,19.911111111117407,19.911111111117407
probe_fwhm_fs,800,0.9527427918292852,0.6155868338177053,19.911111111117407,19.911111111117407
probe_fwhm_fs,900,0.956348182908507,0.6151713398069529,19.911111111117407,19.911111111117407
probe_fwhm_fs,1000,0.9581200124563984,0.6149867986697037,19.911111111117407,19.911111111117407
probe_fwhm_fs,1100,0.9562983299072076,0.6148723117276216,19.911111111117407,19.911111111117407
probe_fwhm_fs,1200,0.9581818306066254,0.6156376323469841,19.911111111117407,19.911111111117407
probe_fwhm_fs,1300,0.9560181452503123,0.6090058711003398,19.911111111117407,19.911111111117407
probe_fwhm_fs,1400,0.9542581623752467,0.6088625042690384,19.911111111117407,19.911111111117407
probe_fwhm_fs,1500,0.9527874871562365,0.6086872541258337,19.911111111117407,19.911111111117407
probe_fwhm_fs,1600,0.9515503648927142,0.6167295097686512,19.911111111117407,19.911111111117407
probe_fwhm_fs,1700,0.9505228217604504,0.6168126786379504,19.911111111117407,19.911111111117407
probe_fwhm_fs,1800,0.9503365648265187,0.6168672834462801,19.911111111117407,19.911111111117407
probe_fwhm_fs,1900,0.9504023888469346,0.6169026376365289,19.911111111117407,19.911111111117407
probe_fwhm_fs,2000,0.9504533496057608,0.6169247525921965,19.911111111117407,19.911111111117407
f0_THz,220,0.9538183810142307,0.6134148736593497,19.911111111117407,19.911111111117407
f0_THz,221,0.9538183810142231,0.6134148736593491,19.911111111117407,19.911111111117407
f0_THz,222,0.9538183810142378,0.6134148736593493,19.911111111117407,19.911111111117407
f0_THz,223,0.9538183810142369,0.6134148736593545,19.911111111117407,19.911111111117407
f0_THz,224,0.95381838101422,0.6134148736593512,19.911111111117407,19.911111111117407
f0_THz,225,0.9538183810142369,0.613414873659349,19.911111111117407,19.911111111117407
f0_THz,226,0.9538183810142291,0.6134148736593501,19.911111111117407,19.911111111117407
f0_THz,227,0.9538183810142215,0.6134148736593485,19.911111111117407,19.911111111117407
f0_THz,228,0.9538183810142384,0.6134148736593528,19.911111111117407,19.911111111117407
f0_THz,229,0.9538183810142391,0.6134148736593527,19.911111111117407,19.911111111117407
f0_THz,230,0.9538183810142231,0.613414873659345,19.911111111117407,19.911111111117407
f0_THz,231,0.9538183810142389,0.6134148736593492,19.911111111117407,19.911111111117407
f0_THz,232,0.9538183810142313,0.6134148736593488,19.911111111117407,19.911111111117407
f0_THz,233,0.953818381014224,0.6134148736593477,19.911111111117407,19.911111111117407
f0_THz,234,0.9538183810142404,0.6134148736593522,19.911111111117407,19.911111111117407
f0_THz,235,0.9538183810142382,0.613414873659353,19.911111111117407,19.911111111117407
f0_THz,236,0.9538183810142198,0.6134148736593478,19.911111111117407,19.911111111117407
f0_THz,237,0.9538183810142372,0.6134148736593488,19.911111111117407,19.911111111117407
f0_THz,238,0.9538183810142296,0.6134148736593488,19.911111111117407,19.911111111117407
f0_THz,239,0.953818381014222,0.613414873659349,19.911111111117407,19.911111111117407
f0_THz,240,0.9538183810142395,0.6134148736593528,19.911111111117407,19.911111111117407
band_half_width_THz,5.0,0.9424624345900456,0.6037320980857874,9.87189542483975,9.87189542483975
band_half_width_THz,7.5,0.9543648110478176,0.6353886153218826,14.891503267978349,14.891503267978349
band_half_width_THz,10.0,0.9524208783299144,0.6155410592688246,19.911111111117407,19.911111111117407
band_half_width_THz,12.5,0.9446003306185236,0.5872195840826593,12.465359477128004,12.465359477128004
band_half_width_THz,15.0,0.9317979075792997,0.5575948148243565,14.975163398697532,14.975163398697532
band_half_width_THz,17.5,0.9251943987449296,0.5506786526493773,17.484967320266605,17.484967320266605
band_half_width_THz,20.0,0.9321730069064871,0.531265445574397,19.994771241836133,19.994771241836133
band_half_width_THz,22.5,0.9522077291606196,0.5379220569766072,14.97368993259867,14.97368993259867
band_half_width_THz,25.0,0.9426360277648267,0.5350072528101518,16.64361817786994,16.64361817786994
