wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
9.595190380761523556e+02,7.853558789724524036e-01,1.273308097353756052e+00,4.493289641172215632e-01,3.610833438579099663e-01
9.617234468937875818e+02,7.842327617734459189e-01,1.275131630230064594e+00,4.493289641172215632e-01,3.605569700163734348e-01
9.639278557114228079e+02,7.831054509704800104e-01,1.276967231885218990e+00,4.493289641172215632e-01,3.600278874086638159e-01
9.661322645290581477e+02,7.819739284267799295e-01,1.278815013707499837e+00,4.493289641172215632e-01,3.594960781837772679e-01
9.683366733466933738e+02,7.808381758324847155e-01,1.280675088578830723e+00,4.493289641172215632e-01,3.589615243094110286e-01
9.705410821643285999e+02,7.796981747023995490e-01,1.282547570900350875e+00,4.493289641172215632e-01,3.584242075696258967e-01
9.727454909819639397e+02,7.785539063737102472e-01,1.284432576618521837e+00,4.493289641172215632e-01,3.578841095624709645e-01
9.749498997995991658e+02,7.774053520036597886e-01,1.286330223251784810e+00,4.493289641172215632e-01,3.573412116975727137e-01
9.771543086172345056e+02,7.762524925671823173e-01,1.288240629917787983e+00,4.493289641172215632e-01,3.567954951936823660e-01
9.793587174348697317e+02,7.750953088544998426e-01,1.290163917361186074e+00,4.493289641172215632e-01,3.562469410761870403e-01
9.815631262525050715e+02,7.739337814686739758e-01,1.292100207982039617e+00,4.493289641172215632e-01,3.556955301745782783e-01
9.837675350701402976e+02,7.727678908231172539e-01,1.294049625864818864e+00,4.493289641172215632e-01,3.551412431198816000e-01
9.859719438877755238e+02,7.715976171390609428e-01,1.296012296808033426e+00,4.493289641172215632e-01,3.545840603420440384e-01
9.881763527054108636e+02,7.704229404429776551e-01,1.297988348354502719e+00,4.493289641172215632e-01,3.540239620672782639e-01
9.903807615230460897e+02,7.692438405639595578e-01,1.299977909822280786e+00,4.493289641172215632e-01,3.534609283153653525e-01
9.925851703406813158e+02,7.680602971310499516e-01,1.301981112336256352e+00,4.493289641172215632e-01,3.528949388969123135e-01
9.947895791583166556e+02,7.668722895705269993e-01,1.303998088860443660e+00,4.493289641172215632e-01,3.523259734105648744e-01
9.969939879759518817e+02,7.656797971031410466e-01,1.306028974230979856e+00,4.493289641172215632e-01,3.517540112401754682e-01
9.991983967935872215e+02,7.644827987413006509e-01,1.308073905189850894e+00,4.493289641172215632e-01,3.511790315519233707e-01
1.001402805611222448e+03,7.632812732862087612e-01,1.310133020419365746e+00,4.493289641172215632e-01,3.506010132913885413e-01
1.003607214428857674e+03,7.620751993249483824e-01,1.312206460577390654e+00,4.493289641172215632e-01,3.500199351805768910e-01
1.005811623246493014e+03,7.608645552275140611e-01,1.314294368333375207e+00,4.493289641172215632e-01,3.494357757148948140e-01
1.008016032064128240e+03,7.596493191437913017e-01,1.316396888405179544e+00,4.493289641172215632e-01,3.488485131600767009e-01
1.010220440881763579e+03,7.584294690004784734e-01,1.318514167596735565e+00,4.493289641172215632e-01,3.482581255490564964e-01
