separation_fs,lambda_ent,V_paper,V_robust,fringe_THz,asymmetry
200,0.0,0.9991723504899324,0.997662889236535,19.911111111117407,-0.0664137461664426
200,100000000000.0,0.9987415986838765,0.9965112555231971,19.911111111117407,-0.06623844468390123
200,250000000000.0,0.9980961419388331,0.9951877091941103,19.911111111117407,-0.06597753031334963
200,500000000000.0,0.9970228606916145,0.994565200256474,19.911111111117407,-0.06554830768929097
200,750000000000.0,0.9963928268040149,0.993942893431728,19.911111111117407,-0.06512643471956116
200,1000000000000.0,0.9957756884433925,0.9933229837319967,19.911111111117407,-0.06471223769065756
200,1500000000000.0,0.9931993225416231,0.9921244366837356,19.911111111117407,-0.06390802347063294
200,2000000000000.0,0.9876644513094791,0.9906055990488567,19.911111111117407,-0.06313766137428913
400,0.0,0.9841210616212563,0.9933381140099099,19.911111111117407,-0.0841503181692063
400,100000000000.0,0.9646421757608143,0.9914242603589847,19.911111111117407,-0.08334509100735531
400,250000000000.0,0.9351295535451025,0.9877889678370805,19.911111111117407,-0.08217501304255
400,500000000000.0,0.8866722328477995,0.985274299305234,19.911111111117407,-0.08032426499622232
400,750000000000.0,0.8394104043950704,0.983669800401802,19.911111111117407,-0.0785950416425471
400,1000000000000.0,0.7925378785037032,0.9811293483208363,19.911111111117407,-0.07698356181990586
400,1500000000000.0,0.7017787437107319,0.9795788022415459,19.911111111117407,-0.07409585480370598
400,2000000000000.0,0.6164850013643823,0.9802985062697169,19.911111111117407,-0.0716213577872041
600,0.0,0.9687909072436638,0.9939260549935688,19.911111111117407,-0.0993869862786178
600,100000000000.0,0.9481315795940408,0.989092763408973,19.911111111117407,-0.09770315203894409
600,250000000000.0,0.9115352284125369,0.9847150027439409,19.911111111117407,-0.09533735862247286
600,500000000000.0,0.8491662638734774,0.9781841656292184,19.911111111117407,-0.09179014186125915
600,750000000000.0,0.7918167526543796,0.9754470002475,19.911111111117407,-0.08869019971668578
600,1000000000000.0,0.7371238622660748,0.9759025683645257,19.911111111117407,-0.08598661804945402
600,1500000000000.0,0.6121094939796661,0.978699571236106,19.911111111117407,-0.08158687072423466
600,2000000000000.0,0.49682148800145143,0.9789429394472717,19.911111111117407,-0.07827065727792766
800,0.0,0.9524208783299144,0.9961742739255977,19.911111111117407,-0.11011490001238394
800,100000000000.0,0.9094555857697104,0.9926988142016543,19.911111111117407,-0.10782797197234757
800,250000000000.0,0.8535597352059586,0.9897642469095005,19.911111111117407,-0.10472191504376654
800,500000000000.0,0.7639535646689299,0.9860314928025354,19.911111111117407,-0.10030373083652167
800,750000000000.0,0.6838800735127466,0.9856520338931472,19.911111111117407,-0.09668456140826233
800,1000000000000.0,0.6155410592688246,0.9849727632666053,19.911111111117407,-0.09372018429897143
800,1500000000000.0,0.4958630914792812,0.9853876734459124,19.911111111117407,-0.08930398614598023
800,2000000000000.0,0.3854012620626671,0.9855518208044323,19.911111111117407,-0.08634231911239787
1000,0.0,0.9170218468601756,0.9978941182876246,19.911111111117407,-0.11713605576084864
1000,100000000000.0,0.8640350525307059,0.9962263866171283,19.911111111117407,-0.11479585433135947
1000,250000000000.0,0.7931573570718297,0.9945210241315379,19.911111111117407,-0.11171004028369207
1000,500000000000.0,0.6790190598079326,0.9924266181227676,19.911111111117407,-0.10751719846920463
1000,750000000000.0,0.584579661495854,0.9911948551774158,19.911111111117407,-0.10427158276698509
1000,1000000000000.0,0.5081506659972563,0.9903505182868559,19.911111111117407,-0.1017557903370671
1000,1500000000000.0,0.3877907063333413,0.9896076159151876,19.911111111117407,-0.09828766453763176
1000,2000000000000.0,0.29497503754405424,0.9890845218323079,19.911111111117407,-0.09619374200387591
1200,0.0,0.8694944784952223,0.9987855458137366,19.911111111117407,-0.12204655141633164
1200,100000000000.0,0.8143471013483258,0.9973589083996178,19.911111111117407,-0.12008027687941823
1200,250000000000.0,0.7401394091524065,0.9958969790733139,19.911111111117407,-0.11755327534957541
1200,500000000000.0,0.6087810906668346,0.9943904972564569,19.911111111117407,-0.1142552115862414
1200,750000000000.0,0.5011395638765289,0.9930336059017302,19.911111111117407,-0.11182855685627986
1200,1000000000000.0,0.42080473148500575,0.9925331141369595,19.911111111117407,-0.1100398817823876
1200,1500000000000.0,0.30243911806224594,0.9917518464227065,19.911111111117407,-0.10774441798911093
1200,2000000000000.0,0.23163402726801757,0.9915180109491072,19.911111111117407,-0.1064899995938871
1400,0.0,0.8316677331843536,0.999296067438832,19.911111111117407,-0.12581934512935872
1400,100000000000.0,0.7909018630548976,0.9977279250965118,19.911111111117407,-0.12439681077609972
1400,250000000000.0,0.6874039030093906,0.9967066807422185,19.911111111117407,-0.12261149366599276
1400,500000000000.0,0.5397700768422751,0.9951123019888798,19.911111111117407,-0.12036755567068425
1400,750000000000.0,0.4237370074287663,0.9944463751563788,19.911111111117407,-0.11879444301060565
1400,1000000000000.0,0.3414443864219271,0.9941733459976394,19.911111111117407,-0.11768991625227727
1400,1500000000000.0,0.23313626964093262,0.9936651575238074,19.911111111117407,-0.11636745574742584
1400,2000000000000.0,0.18826522558823605,0.9937245164331487,19.911111111117407,-0.11571250947217392
