separation_fs,lambda_ent,mode,visibility_paper,visibility_robust,fringe_spacing_THz,asymmetry
200,0.0,standard,0.9991723504899324,0.997662889236535,19.911111111117407,-0.0664137461664426
200,0.0,cat_ept,nan,0.9812842548988157,19.911111111117407,-0.05289555468600738
200,500000000000.0,cat_ept,0.9970228606916145,0.994565200256474,19.911111111117407,-0.06554830768929097
200,1000000000000.0,cat_ept,0.9957756884433925,0.9933229837319967,19.911111111117407,-0.06471223769065756
200,1500000000000.0,cat_ept,0.9931993225416231,0.9921244366837356,19.911111111117407,-0.06390802347063294
400,0.0,standard,0.9841210616212563,0.9933381140099099,19.911111111117407,-0.0841503181692063
400,0.0,cat_ept,nan,0.9825225416420063,19.911111111117407,-0.0590151362406857
400,500000000000.0,cat_ept,0.8866722328477995,0.985274299305234,19.911111111117407,-0.08032426499622232
400,1000000000000.0,cat_ept,0.7925378785037032,0.9811293483208363,19.911111111117407,-0.07698356181990586
400,1500000000000.0,cat_ept,0.7017787437107319,0.9795788022415459,19.911111111117407,-0.07409585480370598
500,0.0,standard,0.9823799312991451,0.9934508722028773,19.911111111117407,-0.09228382346780384
500,0.0,cat_ept,nan,0.9833743504794167,19.911111111117407,-0.06339955167045834
500,500000000000.0,cat_ept,0.8645633815301856,0.9762143073099305,19.911111111117407,-0.08651434230063339
500,1000000000000.0,cat_ept,0.7512100330612546,0.9766536591889051,19.911111111117407,-0.08179605621915002
500,1500000000000.0,cat_ept,0.6449896781840756,0.9767588894261352,19.911111111117407,-0.07797565228509797
600,0.0,standard,0.9687909072436638,0.9939260549935688,19.911111111117407,-0.0993869862786178
600,0.0,cat_ept,nan,0.9843371938097074,19.911111111117407,-0.06851484804299349
600,500000000000.0,cat_ept,0.8491662638734774,0.9781841656292184,19.911111111117407,-0.09179014186125915
600,1000000000000.0,cat_ept,0.7371238622660748,0.9759025683645257,19.911111111117407,-0.08598661804945402
600,1500000000000.0,cat_ept,0.6121094939796661,0.978699571236106,19.911111111117407,-0.08158687072423466
800,0.0,standard,0.9524208783299144,0.9961742739255977,19.911111111117407,-0.11011490001238394
800,0.0,cat_ept,nan,0.9864692066877524,19.911111111117407,-0.08031705486617742
800,500000000000.0,cat_ept,0.7639535646689299,0.9860314928025354,19.911111111117407,-0.10030373083652167
800,1000000000000.0,cat_ept,0.6155410592688246,0.9849727632666053,19.911111111117407,-0.09372018429897143
800,1500000000000.0,cat_ept,0.4958630914792812,0.9853876734459124,19.911111111117407,-0.08930398614598023
1000,0.0,standard,0.9170218468601756,0.9978941182876246,19.911111111117407,-0.11713605576084864
1000,0.0,cat_ept,nan,0.9887198504495238,19.911111111117407,-0.09298007288687916
1000,500000000000.0,cat_ept,0.6790190598079326,0.9924266181227676,19.911111111117407,-0.10751719846920463
1000,1000000000000.0,cat_ept,0.5081506659972563,0.9903505182868559,19.911111111117407,-0.1017557903370671
1000,1500000000000.0,cat_ept,0.3877907063333413,0.9896076159151876,19.911111111117407,-0.09828766453763176
1200,0.0,standard,0.8694944784952223,0.9987855458137366,19.911111111117407,-0.12204655141633164
1200,0.0,cat_ept,nan,0.9910226617907151,19.911111111117407,-0.10496925178562225
1200,500000000000.0,cat_ept,0.6087810906668346,0.9943904972564569,19.911111111117407,-0.1142552115862414
1200,1000000000000.0,cat_ept,0.42080473148500575,0.9925331141369595,19.911111111117407,-0.1100398817823876
1200,1500000000000.0,cat_ept,0.30243911806224594,0.9917518464227065,19.911111111117407,-0.10774441798911093
1400,0.0,standard,0.8316677331843536,0.999296067438832,19.911111111117407,-0.12581934512935872
1400,0.0,cat_ept,nan,0.9934559243815677,19.911111111117407,-0.11506759381769084
1400,500000000000.0,cat_ept,0.5397700768422751,0.9951123019888798,19.911111111117407,-0.12036755567068425
1400,1000000000000.0,cat_ept,0.3414443864219271,0.9941733459976394,19.911111111117407,-0.11768991625227727
1400,1500000000000.0,cat_ept,0.23313626964093262,0.9936651575238074,19.911111111117407,-0.11636745574742584
