t_s,tau_ent_s,lambda_s_inv,norm2
0.0,0.0,1000000000000.0,1.0000000000000169
2.5e-15,0.0025,1000000000000.0,0.9950124766015185
5e-15,0.005,1000000000000.0,0.9900498285926704
7.5e-15,0.0075,1000000000000.0,0.985111931906885
1e-14,0.01,1000000000000.0,0.9801986630963595
1.25e-14,0.0125,1000000000000.0,0.9753098993289894
1.5e-14,0.015000000000000001,1000000000000.0,0.9704455183852988
1.7499999999999998e-14,0.0175,1000000000000.0,0.9656053986553842
1.9999999999999997e-14,0.02,1000000000000.0,0.9607894191358741
2.2499999999999996e-14,0.0225,1000000000000.0,0.9559974594269042
2.4999999999999994e-14,0.024999999999999998,1000000000000.0,0.9512293997291075
2.7499999999999993e-14,0.027499999999999997,1000000000000.0,0.9464851208406188
2.999999999999999e-14,0.029999999999999995,1000000000000.0,0.9417645041540957
3.2499999999999994e-14,0.032499999999999994,1000000000000.0,0.9370674316537518
3.4999999999999996e-14,0.034999999999999996,1000000000000.0,0.9323937859124077
3.75e-14,0.0375,1000000000000.0,0.9277434500885551
4e-14,0.04,1000000000000.0,0.9231163079234348
4.25e-14,0.0425,1000000000000.0,0.9185122437381313
4.5000000000000004e-14,0.045000000000000005,1000000000000.0,0.9139311424306799
4.7500000000000006e-14,0.04750000000000001,1000000000000.0,0.9093728894731905
5.000000000000001e-14,0.05000000000000001,1000000000000.0,0.9048373709089829
5.250000000000001e-14,0.05250000000000001,1000000000000.0,0.9003244733497383
5.500000000000001e-14,0.055000000000000014,1000000000000.0,0.8958340839726658
5.750000000000001e-14,0.057500000000000016,1000000000000.0,0.8913660905176798
6.000000000000001e-14,0.06000000000000002,1000000000000.0,0.8869203812845947
6.250000000000001e-14,0.06250000000000001,1000000000000.0,0.8824968451303328
6.500000000000001e-14,0.06500000000000002,1000000000000.0,0.878095371466144
6.750000000000002e-14,0.06750000000000002,1000000000000.0,0.8737158502548436
7.000000000000002e-14,0.07000000000000002,1000000000000.0,0.8693581720080584
7.250000000000002e-14,0.07250000000000002,1000000000000.0,0.8650222277834925
7.500000000000002e-14,0.07500000000000002,1000000000000.0,0.8607079091822011
7.750000000000002e-14,0.07750000000000003,1000000000000.0,0.8564151083458822
8.000000000000003e-14,0.08000000000000003,1000000000000.0,0.8521437179541795
8.250000000000003e-14,0.08250000000000003,1000000000000.0,0.8478936312219995
8.500000000000003e-14,0.08500000000000003,1000000000000.0,0.843664741896842
8.750000000000003e-14,0.08750000000000004,1000000000000.0,0.8394569442561434
9.000000000000003e-14,0.09000000000000004,1000000000000.0,0.8352701331046339
9.250000000000003e-14,0.09250000000000004,1000000000000.0,0.8311042037717076
9.500000000000004e-14,0.09500000000000004,1000000000000.0,0.8269590521088058
9.750000000000004e-14,0.09750000000000004,1000000000000.0,0.822834574486813
1.0000000000000004e-13,0.10000000000000005,1000000000000.0,0.8187306677934663
1.0250000000000004e-13,0.10250000000000005,1000000000000.0,0.8146472294307782
1.0500000000000004e-13,0.10500000000000005,1000000000000.0,0.8105841573124704
1.0750000000000005e-13,0.10750000000000005,1000000000000.0,0.8065413498614221
1.1000000000000005e-13,0.11000000000000006,1000000000000.0,0.8025187060071319
1.1250000000000005e-13,0.11250000000000006,1000000000000.0,0.7985161251831886
1.1500000000000004e-13,0.11500000000000006,1000000000000.0,0.794533507324759
1.1750000000000003e-13,0.11750000000000006,1000000000000.0,0.7905707528660857
1.2000000000000002e-13,0.12000000000000006,1000000000000.0,0.7866277627379975
1.225e-13,0.12250000000000007,1000000000000.0,0.7827044383654335
1.25e-13,0.12500000000000006,1000000000000.0,0.7788006816649773
1.2749999999999999e-13,0.12750000000000006,1000000000000.0,0.7749163950424067
1.2999999999999998e-13,0.13000000000000006,1000000000000.0,0.7710514813902526
1.3249999999999997e-13,0.13250000000000006,1000000000000.0,0.7672058440853718
1.3499999999999995e-13,0.13500000000000006,1000000000000.0,0.7633793869865311
1.3749999999999994e-13,0.13750000000000007,1000000000000.0,0.7595720144320045
1.3999999999999993e-13,0.14000000000000007,1000000000000.0,0.7557836312371804
1.4249999999999992e-13,0.14250000000000007,1000000000000.0,0.7520141426921828
1.449999999999999e-13,0.14500000000000007,1000000000000.0,0.7482634545595037
1.474999999999999e-13,0.14750000000000008,1000000000000.0,0.7445314730716469
1.499999999999999e-13,0.15000000000000008,1000000000000.0,0.7408181049287834
1.5249999999999988e-13,0.15250000000000008,1000000000000.0,0.7371232572964199
1.5499999999999987e-13,0.15500000000000008,1000000000000.0,0.7334468378030767
1.5749999999999986e-13,0.15750000000000008,1000000000000.0,0.729788754537979
1.5999999999999985e-13,0.1600000000000001,1000000000000.0,0.7261489160487599
1.6249999999999984e-13,0.1625000000000001,1000000000000.0,0.7225272313391724
1.6499999999999983e-13,0.1650000000000001,1000000000000.0,0.718923609866816
1.6749999999999982e-13,0.1675000000000001,1000000000000.0,0.7153379615408721
1.699999999999998e-13,0.1700000000000001,1000000000000.0,0.7117701967198531
1.724999999999998e-13,0.1725000000000001,1000000000000.0,0.7082202262093589
1.7499999999999978e-13,0.1750000000000001,1000000000000.0,0.7046879612598498
1.7749999999999977e-13,0.1775000000000001,1000000000000.0,0.7011733135644262
1.7999999999999976e-13,0.1800000000000001,1000000000000.0,0.6976761952566208
1.8249999999999975e-13,0.1825000000000001,1000000000000.0,0.6941965189082032
1.8499999999999974e-13,0.1850000000000001,1000000000000.0,0.6907341975269924
1.8749999999999973e-13,0.1875000000000001,1000000000000.0,0.6872891445546834
1.8999999999999972e-13,0.1900000000000001,1000000000000.0,0.6838612738646828
1.924999999999997e-13,0.19250000000000012,1000000000000.0,0.6804504997599558
1.949999999999997e-13,0.19500000000000012,1000000000000.0,0.6770567369708832
1.974999999999997e-13,0.19750000000000012,1000000000000.0,0.6736799006531298
1.9999999999999968e-13,0.20000000000000012,1000000000000.0,0.6703199063855241
2.0249999999999967e-13,0.20250000000000012,1000000000000.0,0.666976670167947
2.0499999999999966e-13,0.20500000000000013,1000000000000.0,0.6636501084192319
2.0749999999999965e-13,0.20750000000000013,1000000000000.0,0.6603401379750752
2.0999999999999964e-13,0.21000000000000013,1000000000000.0,0.6570466760859566
2.1249999999999962e-13,0.21250000000000013,1000000000000.0,0.6537696404150722
2.1499999999999961e-13,0.21500000000000014,1000000000000.0,0.6505089490362741
2.174999999999996e-13,0.21750000000000014,1000000000000.0,0.6472645204320232
2.199999999999996e-13,0.22000000000000014,1000000000000.0,0.6440362734913506
2.2249999999999958e-13,0.22250000000000014,1000000000000.0,0.6408241275078304
2.2499999999999957e-13,0.22500000000000014,1000000000000.0,0.637628002177563
