detune_THz,I_norm
-9.866666666598968405e+00,1.000000000000000000e+00
-9.699999999932250816e+00,9.326458876751183569e-01
-9.533333333265531451e+00,8.534384630170961383e-01
-9.366666666598844060e+00,7.066220976295445322e-01
-9.199999999932124695e+00,5.813468327073660902e-01
-9.033333333265407106e+00,4.583243188508699384e-01
-8.866666666598687740e+00,3.396564505792349919e-01
-8.699999999931968375e+00,2.579695207055999751e-01
-8.533333333265250786e+00,1.966220567272903008e-01
-8.366666666598531421e+00,1.502957613466111286e-01
-8.199999999931812056e+00,1.326074064857047652e-01
-8.033333333265094467e+00,1.403812605570980143e-01
-7.866666666598375102e+00,1.919452394343305890e-01
-7.699999999931656625e+00,2.857692813403121534e-01
-7.533333333264937259e+00,4.171548391556441082e-01
-7.366666666598218782e+00,5.706201162406034921e-01
-7.199999999931500305e+00,7.242261830649492360e-01
-7.033333333264780940e+00,8.250554282638835613e-01
-6.866666666598062463e+00,8.855569934350522310e-01
-6.699999999931343986e+00,8.098559232988933321e-01
-6.533333333264624621e+00,6.834649424931190653e-01
-6.366666666597906143e+00,4.875453836051809042e-01
-6.199999999931187666e+00,2.821173760767664018e-01
-6.033333333264469189e+00,1.192340855727623133e-01
-5.866666666597749824e+00,3.521056340465829326e-02
-5.699999999931031347e+00,2.918870547415450961e-02
-5.533333333264312870e+00,8.583582226567888773e-02
-5.366666666597593505e+00,1.676678505526462692e-01
-5.199999999930875028e+00,2.377695930537356284e-01
-5.033333333264156551e+00,2.835990280341575964e-01
-4.866666666597437185e+00,2.819803224200813085e-01
-4.699999999930718708e+00,2.529375905846165118e-01
-4.533333333264000231e+00,2.064273724201414195e-01
-4.366666666597280866e+00,1.691680105475679152e-01
-4.199999999930562389e+00,1.301342111751298547e-01
-4.033333333263843912e+00,8.400765818772726323e-02
-3.866666666597124991e+00,6.021859310841060076e-02
-3.699999999930406069e+00,2.690742125874247617e-02
-3.533333333263718679e+00,1.202291670010901398e-02
-3.366666666597000201e+00,2.816480859244069237e-03
-3.199999999930281280e+00,1.741504254366050305e-04
-3.033333333263562359e+00,6.679417841379852935e-03
-2.866666666596843882e+00,1.912936457156078421e-02
-2.699999999930124961e+00,3.761589626657237118e-02
-2.533333333263406040e+00,5.335028416526869932e-02
-2.366666666596687563e+00,5.574430270847448993e-02
-2.199999999929968642e+00,6.209701813182769842e-02
-2.033333333263250164e+00,4.812839258053654146e-02
-1.866666666596531243e+00,4.382452291972004088e-02
-1.699999999929812544e+00,3.087300670810123535e-02
-1.533333333263093845e+00,2.102048008058315931e-02
-1.366666666596374924e+00,1.763474570087966709e-02
-1.199999999929656225e+00,1.272290331200893500e-02
-1.033333333262937526e+00,1.323175991769247849e-02
