detune_THz,I_norm
-9.866666666598968405e+00,1.000000000000000000e+00
-9.699999999932250816e+00,9.072202535218921726e-01
-9.533333333265531451e+00,8.013396069558456070e-01
-9.366666666598844060e+00,6.869726163064836522e-01
-9.199999999932124695e+00,5.689855305140935071e-01
-9.033333333265407106e+00,4.522789501841667503e-01
-8.866666666598687740e+00,3.415747092977496346e-01
-8.699999999931968375e+00,2.412159841554973316e-01
-8.533333333265250786e+00,1.549889772308844782e-01
-8.366666666598531421e+00,8.597339209503832014e-02
-8.199999999931812056e+00,3.642736142118649378e-02
-8.033333333265094467e+00,7.710952615655129391e-03
-7.866666666598375102e+00,2.505489864398999927e-04
-7.699999999931656625e+00,1.354458177183941701e-02
-7.533333333264937259e+00,4.620929841141485639e-02
-7.366666666598218782e+00,9.606156070760578369e-02
-7.199999999931500305e+00,1.602341256578586337e-01
-7.033333333264780940e+00,2.353175386699701832e-01
-6.866666666598062463e+00,3.175218282305373174e-01
-6.699999999931343986e+00,4.028504784739361244e-01
-6.533333333264624621e+00,4.872787470320121828e-01
-6.366666666597906143e+00,5.669286781739758529e-01
-6.199999999931187666e+00,6.382330673264923204e-01
-6.033333333264469189e+00,6.980819609802734194e-01
-5.866666666597749824e+00,7.439453555399130336e-01
-5.699999999931031347e+00,7.739677289299184970e-01
-5.533333333264312870e+00,7.870308119723529172e-01
-5.366666666597593505e+00,7.827828591578455120e-01
-5.199999999930875028e+00,7.616338709005071594e-01
-5.033333333264156551e+00,7.247179973239523676e-01
-4.866666666597437185e+00,6.738255400828092601e-01
-4.699999999930718708e+00,6.113083510224321948e-01
-4.533333333264000231e+00,5.399634090126295138e-01
-4.366666666597280866e+00,4.629000773960697535e-01
-4.199999999930562389e+00,3.833973462542953903e-01
-4.033333333263843912e+00,3.047574170273358307e-01
-3.866666666597124991e+00,2.301619940937217890e-01
-3.699999999930406069e+00,1.625376384896084769e-01
-3.533333333263718679e+00,1.044356175449764890e-01
-3.366666666597000201e+00,5.793110995757147497e-02
-3.199999999930281280e+00,2.454571188980863086e-02
-3.033333333263562359e+00,5.195849823753585957e-03
-2.866666666596843882e+00,1.688223593763415152e-04
-2.699999999930124961e+00,9.126651877856665346e-03
-2.533333333263406040e+00,3.113694073918862881e-02
-2.366666666596687563e+00,6.472867024580311601e-02
-2.199999999929968642e+00,1.079698264601000185e-01
-2.033333333263250164e+00,1.585630386942768755e-01
-1.866666666596531243e+00,2.139544940970676268e-01
-1.699999999929812544e+00,2.714511888854989063e-01
-1.533333333263093845e+00,3.283411114089482274e-01
-1.366666666596374924e+00,3.820111967056554758e-01
-1.199999999929656225e+00,4.300578108575001668e-01
-1.033333333262937526e+00,4.703854299112660842e-01
-8.666666665962187155e-01,5.012893231867235899e-01
-6.999999999295000164e-01,5.215191896149985462e-01
-5.333333332627812062e-01,5.303215090539147303e-01
-3.666666665960625071e-01,5.274592140399185780e-01
-1.999999999293437525e-01,5.132085624172008087e-01
-3.333333326262499785e-02,4.883337274011924634e-01
1.333333334040937568e-01,4.540410665279921987e-01
3.000000000708125114e-01,4.119153194536894769e-01
4.666666667375312660e-01,3.638411778352727000e-01
6.333333334042500207e-01,3.119138266624322808e-01
8.000000000709687198e-01,2.583427706201221752e-01
9.666666667376875299e-01,2.053531201031935927e-01
1.133333333404406229e+00,1.550888069756608811e-01
1.300000000071124928e+00,1.095218200352623683e-01
1.466666666737843849e+00,7.037124965582861047e-02
1.633333333404562548e+00,3.903538469065619132e-02
1.800000000071281248e+00,1.653949303455050021e-02
1.966666666737999947e+00,3.501088178456253537e-03
2.133333333404718868e+00,1.137578612464352004e-04
2.300000000071406259e+00,6.149772479409654734e-03
2.466666666738125180e+00,2.098087167208919496e-02
2.633333333404843657e+00,4.361584185776273825e-02
2.800000000071562578e+00,7.275284169186409244e-02
2.966666666738281055e+00,1.068438441576305270e-01
3.133333333404999976e+00,1.441680060912435835e-01
3.300000000071718897e+00,1.829107147618887486e-01
3.466666666738437375e+00,2.212445558630908859e-01
3.633333333405156296e+00,2.574087819059681648e-01
3.800000000071875217e+00,2.897837770522040945e-01
3.966666666738593694e+00,3.169575233561789940e-01
4.133333333405312615e+00,3.377813442358677531e-01
4.300000000072031092e+00,3.514127502360826494e-01
4.466666666738749569e+00,3.573440045324254299e-01
4.633333333405468935e+00,3.554153370037883564e-01
4.800000000072187412e+00,3.458129076235789134e-01
4.966666666738905889e+00,3.290516089225725693e-01
5.133333333405625254e+00,3.059443241473866482e-01
5.300000000072343731e+00,2.775589170041545817e-01
5.466666666739062208e+00,2.451653444958578343e-01
5.633333333405781573e+00,2.101754039935724017e-01
5.800000000072500050e+00,1.740779144212868945e-01
5.966666666739218527e+00,1.383721850745320281e-01
6.133333333405937893e+00,1.045028388406429448e-01
6.300000000072656370e+00,7.379865152298864528e-02
6.466666666739374847e+00,4.741799043526449126e-02
6.633333333406093324e+00,2.630307146491725825e-02
6.800000000072812689e+00,1.114474917685539211e-02
6.966666666739531166e+00,2.359128831811571712e-03
7.133333333406249643e+00,7.665161110104465401e-05
7.300000000072969009e+00,4.143870548387208926e-03
7.466666666739687486e+00,1.413744318047410568e-02
7.633333333406405963e+00,2.938946118312734529e-02
7.800000000073125328e+00,4.902270996602118430e-02
7.966666666739843805e+00,7.199408002502237502e-02
8.133333333406563170e+00,9.714404408439054894e-02
8.300000000073250561e+00,1.232498621510409592e-01
8.466666666739968150e+00,1.490801797952977514e-01
8.633333333406687515e+00,1.734485465974739959e-01
8.800000000073406881e+00,1.952636384482725751e-01
8.966666666740124469e+00,2.135739856056356467e-01
9.133333333406843835e+00,2.276055928882168566e-01
9.300000000073563200e+00,2.367907743323776626e-01
9.466666666740280789e+00,2.407874064890732912e-01
9.633333333407000154e+00,2.394878598119652424e-01
9.800000000073719519e+00,2.330175300329270505e-01
9.966666666740437108e+00,2.217233778369904207e-01
