S_fs,exp_df_THz,exp_vis_paper,exp_asym,exp_high_frac,sim_df_THz,sim_vis_paper,sim_asym,sim_high_frac
300.000000000106,4.997870612923634,0.0888559237167322,0.19754057688450258,0.001299084296279965,4.977777777779352,0.9916497844791834,0.0902522300890266,0.002799560059283102
400.000000000015,3.9982964903389075,0.10839292416319209,0.21181872193903512,0.0013907309855281623,3.9822222222234815,0.9898255856611748,0.09691556455457946,0.002706405414061154
499.999999999924,3.33191374194909,0.15406823263762998,0.18608270667065974,0.0010523224188033206,3.318518518519568,0.9803663394868072,0.10103236805215227,0.0034849806071185064
500.000000000113,3.33191374194909,0.09226806439444757,0.22685670313997844,0.0006014394287778768,3.318518518519568,0.9803663394860584,0.10103236805215643,0.0034849806071162305
600.000000000022,2.8559260645277913,0.14609237519212692,0.24585912347636213,0.0007603257422916526,2.8444444444453443,0.9584965462401989,0.10224122308165805,0.0037878436094772663
699.999999999931,2.498935306461817,0.13877970405749523,0.2228790689890519,0.000983563698896659,2.488888888889676,0.9462482549440839,0.10062971469079177,0.003171001774712243
700.000000000121,2.498935306461817,0.1089404955518263,0.26563757182345393,0.0007975356970329217,2.488888888889676,0.946248254941759,0.10062971469078555,0.0031710017747169955
800.00000000003,2.2212758279660596,0.1259908238852658,0.2964233436673652,0.00033270951708383266,2.2123456790130454,0.9607309975246139,0.09664259997197777,0.0022780771296848842
899.999999999939,1.9991482451694538,0.10175309458342857,0.274132818751117,0.0009328208392443888,1.9911111111117408,0.95195484497831,0.0909075929777827,0.0017188376301114348
900.000000000128,1.9991482451694538,0.14928187823983288,0.32102267569025417,0.0011905851677970658,1.9911111111117408,0.9519548449815918,0.09090759297777026,0.0017188376301119361
1000.00000000003,1.665956870974545,0.15574074046732783,0.3443663810579575,-3.157422537976931e-05,1.659259259259784,0.8957624906665624,0.08407418817913401,0.0014553014827772355
1099.99999999994,1.5378063424380415,0.14885623116806052,0.31474392714264837,0.000767922188896149,1.5316239316244158,0.9193630306369507,0.07671399790865419,0.0011921869882076123
1100.00000000013,1.5378063424380415,0.1793857242658825,0.36552075885152807,0.00042225452783843155,1.5316239316244158,0.9193630306364269,0.07671399790863956,0.0011921869882068612
1200.00000000004,1.4279630322638956,0.1430444684697817,0.36850131215423987,0.00016901776522034855,1.4222222222226721,0.8765220493307375,0.0692811676399478,0.0008505910391388411
1299.99999999995,1.3327654967796358,0.16178048012141658,0.36132892536494854,-0.0009376296344003688,1.3274074074078273,0.8830862880400119,0.06211007407109186,0.0005432354355293014
