figure_ref,series,slit_separation_fs,fringe_spacing_THz,visibility_paper,visibility_robust,asymmetry_fraction,high_detuning_power_fraction,band_THz,carrier_THz,error
Fig_2a,raw,800.0,2.823183394873316,0.4134505595251045,0.945962836597361,-1.0,0.24298102953889994,10.0,230.2,
Fig_2b,raw,500.0,2.1194593539298694,0.16227962701385185,0.760289171310841,-1.0,0.11872863253417457,10.0,230.2,
Fig_2f,model,-1299.99999999995,19.991482451694537,0.16178048012141655,1.0502847325195486,0.3613289253649484,-0.0009376296344003682,10.0,230.2,
Fig_2f,model,-1200.00000000004,19.991482451694537,0.1430444684697817,1.0193770703231761,0.3685013121542398,0.00016901776522034863,10.0,230.2,
Fig_2f,model,-1100.00000000013,19.991482451694537,0.1793857242658825,1.0190371841705033,0.36552075885152807,0.0004222545278384317,10.0,230.2,
Fig_2f,model,-1000.00000000003,19.991482451694537,0.15574074046732778,1.0200807083970524,0.3443663810579576,-3.1574225379769304e-05,10.0,230.2,
Fig_2f,model,-900.000000000128,19.991482451694537,0.1492818782398329,1.0086845827966797,0.3210226756902542,0.0011905851677970652,10.0,230.2,
Fig_2f,model,-800.00000000003,19.991482451694537,0.1259908238852658,1.0186853743116113,0.2964233436673651,0.0003327095170838323,10.0,230.2,
Fig_2f,model,-700.000000000121,19.991482451694537,0.10894049555182624,1.012296267063499,0.265637571823454,0.0007975356970329218,10.0,230.2,
Fig_2f,model,-600.000000000022,19.991482451694537,0.14609237519212673,1.02192414573997,0.24585912347636205,0.0007603257422916525,10.0,230.2,
Fig_2f,model,-500.000000000113,19.991482451694537,0.09226806439444758,1.0208024381756076,0.2268567031399783,0.0006014394287778769,10.0,230.2,
Fig_2f,model,-400.000000000015,19.991482451694537,0.10839292416319207,1.0080116181664285,0.21181872193903517,0.0013907309855281625,10.0,230.2,
Fig_2f,model,-300.000000000106,19.991482451694537,0.08885592371673227,1.012831376187169,0.19754057688450244,0.0012990842962799648,10.0,230.2,
Fig_2f,model,-200.000000000007,19.991482451694537,0.10950229209224592,1.0131623080168546,0.2146090409789387,0.0010702403705046082,10.0,230.2,
Fig_2f,model,-100.000000000098,19.991482451694537,0.1332852099891449,1.0119168294507637,0.2224330235444324,0.0013084089633381868,10.0,230.2,
Fig_2f,model,0.0,19.991482451694537,0.1281201620802993,1.0094322723167217,0.2649840463615576,0.001240248557720211,10.0,230.2,
Fig_2f,model,99.999999999909,19.991482451694537,0.16862582799820713,1.0177257145578495,0.23883263333613464,0.001243151792224708,10.0,230.2,
Fig_2f,model,200.000000000007,19.991482451694537,0.10852016093361777,1.0098024139428512,0.1819767225839871,0.0006564968064413926,10.0,230.2,
Fig_2f,model,299.999999999916,19.991482451694537,0.10366660017360588,1.0092678961393546,0.17073245826594446,0.0007392496578414552,10.0,230.2,
Fig_2f,model,400.000000000015,19.991482451694537,0.168657089765607,1.014772453555337,0.17493039763660684,0.0007521180028154939,10.0,230.2,
Fig_2f,model,499.999999999924,19.991482451694537,0.15406823263763,1.0214619926344053,0.18608270667065968,0.0010523224188033206,10.0,230.2,
Fig_2f,model,600.000000000022,19.991482451694537,0.1500372650673688,1.0190215193807295,0.2172856011941905,0.0008897860932058409,10.0,230.2,
Fig_2f,model,699.999999999931,19.991482451694537,0.13877970405749523,1.0108135720359759,0.22287906898905221,0.0009835636988966595,10.0,230.2,
Fig_2f,model,800.00000000003,19.991482451694537,0.18174674904167015,1.0097578243071899,0.25483533968759686,0.0007459601932916351,10.0,230.2,
Fig_2f,model,899.999999999939,19.991482451694537,0.10175309458342857,1.0165613580026065,0.27413281875111667,0.0009328208392443889,10.0,230.2,
Fig_2f,model,1000.00000000003,19.991482451694537,0.1561057875107666,1.0159585035600138,0.2958782999975268,0.000654290651921672,10.0,230.2,
Fig_2f,model,1099.99999999994,19.991482451694537,0.14885623116806057,1.0142311111550473,0.31474392714264837,0.0007679221888961488,10.0,230.2,
Fig_2f,model,1200.00000000004,19.991482451694537,0.16333818090859545,1.0279354802242826,0.33445484104715445,0.0003263349059365701,10.0,230.2,
Fig_2f,model,1299.99999999995,19.991482451694537,0.13393034185568573,1.0412383728448482,0.3360293911023865,-0.0004379784792519372,10.0,230.2,
