detune_THz,I_norm
-9.866666666598968405e+00,1.000000000000000000e+00
-9.699999999932250816e+00,9.580658268965870361e-01
-9.533333333265531451e+00,8.759370022765430308e-01
-9.366666666598844060e+00,7.345073862671847031e-01
-9.199999999932124695e+00,5.841471015060361038e-01
-9.033333333265407106e+00,4.540887058411859356e-01
-8.866666666598687740e+00,3.570680408532857508e-01
-8.699999999931968375e+00,2.659993057957885099e-01
-8.533333333265250786e+00,1.972950277301677158e-01
-8.366666666598531421e+00,1.579182519975976806e-01
-8.199999999931812056e+00,1.433106327220853293e-01
-8.033333333265094467e+00,1.444439041067072937e-01
-7.866666666598375102e+00,2.021754287706515885e-01
-7.699999999931656625e+00,2.890667612502914041e-01
-7.533333333264937259e+00,4.209699317787820583e-01
-7.366666666598218782e+00,5.846429735946830908e-01
-7.199999999931500305e+00,7.674629433082690300e-01
-7.033333333264780940e+00,8.565606531057359252e-01
-6.866666666598062463e+00,8.754034727454453879e-01
-6.699999999931343986e+00,8.324216824041170693e-01
-6.533333333264624621e+00,6.935054199530459318e-01
-6.366666666597906143e+00,4.760608116487277108e-01
-6.199999999931187666e+00,2.856574753116012944e-01
-6.033333333264469189e+00,1.205826047552158720e-01
-5.866666666597749824e+00,3.183575172698398931e-02
-5.699999999931031347e+00,2.783232014394551590e-02
-5.533333333264312870e+00,8.526660916399875223e-02
-5.366666666597593505e+00,1.711379060659987961e-01
-5.199999999930875028e+00,2.403867752100962429e-01
-5.033333333264156551e+00,2.811555029576972564e-01
-4.866666666597437185e+00,2.910302210045026539e-01
-4.699999999930718708e+00,2.643189238492156257e-01
-4.533333333264000231e+00,2.141844162870919499e-01
-4.366666666597280866e+00,1.695112995310559534e-01
-4.199999999930562389e+00,1.258174578412549760e-01
-4.033333333263843912e+00,8.923374630980339395e-02
-3.866666666597124991e+00,5.379875778272112663e-02
-3.699999999930406069e+00,3.711264020735088182e-02
-3.533333333263718679e+00,1.320835126584242111e-02
-3.366666666597000201e+00,3.657621019131898979e-03
-3.199999999930281280e+00,1.407201220334730564e-04
-3.033333333263562359e+00,6.006684697775329686e-03
-2.866666666596843882e+00,2.035620031184382644e-02
-2.699999999930124961e+00,3.864282641458700179e-02
-2.533333333263406040e+00,5.477559868435629559e-02
-2.366666666596687563e+00,5.879798724667884002e-02
-2.199999999929968642e+00,6.386285599237082056e-02
-2.033333333263250164e+00,5.630794404469948583e-02
-1.866666666596531243e+00,4.556381234427595017e-02
-1.699999999929812544e+00,3.058201303650465858e-02
-1.533333333263093845e+00,2.434964302629961941e-02
-1.366666666596374924e+00,1.844313581935807730e-02
-1.199999999929656225e+00,1.720276075169622360e-02
-1.033333333262937526e+00,1.412649246344856689e-02
-8.666666665962187155e-01,1.654389721518150988e-02
-6.999999999295000164e-01,2.093221806638928886e-02
-5.333333332627812062e-01,2.900477405724308927e-02
-3.666666665960625071e-01,2.820600959615053929e-02
-1.999999999293437525e-01,2.859893050519084559e-02
-3.333333326262499785e-02,2.931714935601172078e-02
1.333333334040937568e-01,3.637289342558501504e-02
3.000000000708125114e-01,6.295427123354048471e-02
4.666666667375312660e-01,1.084640127738725479e-01
6.333333334042500207e-01,1.572774833697941355e-01
8.000000000709687198e-01,2.274806816952380240e-01
9.666666667376875299e-01,2.499599588760086089e-01
1.133333333404406229e+00,2.592870012866006491e-01
