S_fs,visibility,Vcl,q,eta_00_re,eta_00_im,eta_01_re,eta_01_im,eta_10_re,eta_10_im,eta_11_re,eta_11_im,C_00_re,C_00_im,C_01_re,C_01_im,C_10_re,C_10_im,C_11_re,C_11_im
-1299.99999999995,0.1617804801214165,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1200.00000000004,0.1430444684697817,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1100.00000000013,0.1793857242658825,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1000.00000000003,0.1557407404673277,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-900.000000000128,0.1492818782398329,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-800.00000000003,0.1259908238852658,0.13770708662792522,0.08891979067335544,1.003955970121914,0.0,0.0,0.08903701445709707,0.0,-0.08903701445709707,1.003955970121914,0.0,0.0,-0.08903701445709707,1.003955970121914,0.0,1.003955970121914,0.0,0.0,0.08903701445709707
-700.000000000121,0.1089404955518262,0.13770708662792522,0.23432704786928854,1.0275804385255802,0.0,0.0,0.23647739350818273,0.0,-0.23647739350818273,1.0275804385255802,0.0,0.0,-0.23647739350818273,1.0275804385255802,0.0,1.0275804385255802,0.0,0.0,0.23647739350818273
-600.000000000022,0.1460923751921267,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-500.000000000113,0.0922680643944475,0.13770708662792522,0.40043078492104,1.0812494180625203,0.0,0.0,0.4112180736063757,0.0,-0.4112180736063757,1.0812494180625203,0.0,0.0,-0.4112180736063757,1.0812494180625203,0.0,1.0812494180625203,0.0,0.0,0.4112180736063757
-400.000000000015,0.108392924163192,0.13770708662792522,0.23936605703773695,1.02878510131265,0.0,0.0,0.24165840494979715,0.0,-0.24165840494979715,1.02878510131265,0.0,0.0,-0.24165840494979715,1.02878510131265,0.0,1.02878510131265,0.0,0.0,0.24165840494979715
-300.000000000106,0.0888559237167322,0.13770708662792522,0.4381126453054138,1.0975162835004417,0.0,0.0,0.4522631894689442,0.0,-0.4522631894689442,1.0975162835004417,0.0,0.0,-0.4522631894689442,1.0975162835004417,0.0,1.0975162835004417,0.0,0.0,0.4522631894689442
-200.000000000007,0.1095022920922459,0.13770708662792522,0.22918338727870036,1.0263776672157394,0.0,0.0,0.2311949734730903,0.0,-0.2311949734730903,1.0263776672157394,0.0,0.0,-0.2311949734730903,1.0263776672157394,0.0,1.0263776672157394,0.0,0.0,0.2311949734730903
-100.000000000098,0.1332852099891449,0.13770708662792522,0.03263760045612957,1.0005326537617232,0.0,0.0,0.03264339509726472,0.0,-0.03264339509726472,1.0005326537617232,0.0,0.0,-0.03264339509726472,1.0005326537617232,0.0,1.0005326537617232,0.0,0.0,0.03264339509726472
0.0,0.1281201620802993,0.13770708662792522,0.07216027885895908,1.0026046828665802,0.0,0.0,0.07222291953387028,0.0,-0.07222291953387028,1.0026046828665802,0.0,0.0,-0.07222291953387028,1.0026046828665802,0.0,1.0026046828665802,0.0,0.0,0.07222291953387028
99.999999999909,0.1686258279982071,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
200.000000000007,0.1085201609336177,0.13770708662792522,0.23819289789003562,1.0285023054390092,0.0,0.0,0.24045164231786226,0.0,-0.24045164231786226,1.0285023054390092,0.0,0.0,-0.24045164231786226,1.0285023054390092,0.0,1.0285023054390092,0.0,0.0,0.24045164231786226
299.999999999916,0.1036666001736058,0.13770708662792522,0.28394888656669887,1.0405850769486578,0.0,0.0,0.2877799547714268,0.0,-0.2877799547714268,1.0405850769486578,0.0,0.0,-0.2877799547714268,1.0405850769486578,0.0,1.0405850769486578,0.0,0.0,0.2877799547714268
400.000000000015,0.168657089765607,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
499.999999999924,0.15406823263763,0.13770708662792522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
