S_fs,lambda_ent_inv_s,b_inv_s,c_inv_s,pt_unbroken,eig0_re,eig0_im,eig1_re,eig1_im,pseudoherm_resid,cond_eta,C_ok,cos_theta,eta_00_re,eta_00_im,eta_01_re,eta_01_im,eta_10_re,eta_10_im,eta_11_re,eta_11_im,C_00_re,C_00_im,C_01_re,C_01_im,C_10_re,C_10_im,C_11_re,C_11_im
99.999999999909,370370370370.3703,185185185185.18515,31415926535926.52,1,31415380732340.65,9.1552734375e-05,-31415380732340.65,-6.103515625e-05,0.027621961943132718,1.0118591603769787,1,0.9999826265322702,1.0000347478409923,2.1661544466590388e-19,1.0338912781246611e-16,-0.005894832347496528,1.0338912781246611e-16,0.005894832347496528,1.000034747840993,-6.375103789574534e-36,0.0,0.005894729933816965,1.0000173737695723,0.0,1.0000173737695723,0.0,0.0,-0.005894729933816965
100.000000000098,370370370370.3703,185185185185.18515,31415926535867.14,1,31415380732281.26,0.0,-31415380732281.27,1.9073486328125e-05,0.011049094576221913,1.011859160377001,1,0.9999826265322702,1.0000347478409926,-1.520656800445046e-19,-1.9716282788921243e-16,-0.005894832347507669,-1.9716282788921243e-16,0.00589483234750767,1.0000347478409928,-1.5206568004450456e-19,0.0,0.0058947299338281064,1.0000173737695723,0.0,1.0000173737695723,0.0,0.0,-0.0058947299338281064
200.000000000007,370370370370.3703,185185185185.18515,15707963267948.416,1,15706871632327.19,0.0,-15706871632327.191,0.0,0.013811833943390474,1.0238597993474914,1,0.9999305043179306,1.0001390058544302,-2.4251911625061367e-19,3.196602576827924e-16,-0.011790893819314975,3.196602576827924e-16,0.011790893819314977,1.0001390058544308,-5.928316085032618e-35,0.0,0.0117900744031068,1.0000695005120548,0.0,1.0000695005120548,0.0,0.0,-0.0117900744031068
299.999999999916,370370370370.3703,185185185185.18515,10471975511968.908,1,10470337987403.484,-3.0517578125e-05,-10470337987403.482,4.57763671875e-05,0.002763615912310421,1.0360044638419468,1,0.9998436279225869,1.0003128175268037,-1.297638922202315e-19,-3.046795536447308e-16,-0.0176894143941697,-3.046795536447308e-16,0.0176894143941697,1.0003128175268037,-6.117862902657286e-19,0.0,0.017686648263692664,1.0001563965334639,0.0,1.0001563965334639,0.0,0.0,-0.017686648263692664
300.000000000106,370370370370.3703,185185185185.18515,10471975511962.275,1,10470337987396.848,0.0,-10470337987396.848,-4.9591064453125e-05,0.0027681393883576223,1.0360044638419699,1,0.9998436279225866,1.0003128175268041,-8.337541028738946e-35,-8.261039301792382e-17,-0.01768941439418092,-8.261039301792382e-17,0.01768941439418092,1.000312817526804,-8.329942427317224e-20,0.0,0.01768664826370387,1.000156396533464,0.0,1.000156396533464,0.0,0.0,-0.01768664826370387
400.000000000015,370370370370.3703,185185185185.18515,7853981633974.1875,1,7851798135076.559,-6.103515625e-05,-7851798135076.5625,-2.6702880859375e-05,8.579351321377979e-05,1.048295762293816,1,0.9997219882857658,1.000556255385989,-3.6297735734034367e-19,1.222052028317794e-16,-0.023591625760918958,1.222052028317794e-16,0.023591625760918958,1.000556255385989,1.672771365508869e-35,0.0,0.023585067012599582,1.000278089026241,0.0,1.000278089026241,0.0,0.0,-0.023585067012599582
499.999999999924,370370370370.3703,185185185185.18515,6283185307180.541,1,6280455720053.869,9.1552734375e-05,-6280455720053.869,-5.7220458984375e-05,0.004148553371579857,1.0607363665071854,1,0.9995655727161902,1.0008694210769453,1.0327814419041678e-19,-2.2992875680948017e-16,-0.029498762176647264,-2.2992875680948017e-16,0.029498762176647264,1.0008694210769458,1.0825997550595522e-34,0.0,0.02948594710951911,1.0004346160928985,0.0,1.0004346160928985,0.0,0.0,-0.02948594710951911
500.000000000113,370370370370.3703,185185185185.18515,6283185307178.165,1,6280455720051.494,0.0,-6280455720051.491,3.814697265625e-05,0.0027673943003766487,1.060736366507209,1,0.9995655727161898,1.000869421076946,-1.817048713586975e-19,3.8102791521412977e-17,-0.029498762176658446,3.8102791521412977e-17,0.029498762176658446,1.0008694210769458,-1.8170487135869719e-19,0.0,0.029485947109530276,1.000434616092899,0.0,1.000434616092899,0.0,0.0,-0.029485947109530276
600.000000000022,370370370370.3703,185185185185.18515,5235987755982.796,1,5232711938181.736,-5.58786907317696e-05,-5232711938181.738,6.287626278644602e-06,0.0013980786636950402,1.073329013593157,1,0.9993743648851519,1.0012524454678964,-2.599917602516469e-34,-1.1987403963487388e-16,-0.03541206132868219,-1.1987403963487388e-16,0.03541206132868219,1.0012524454678962,1.970786741100181e-19,0.0,0.03538990629962582,1.000626026779184,0.0,1.000626026779184,0.0,0.0,-0.03538990629962582
699.999999999931,370370370370.3703,185185185185.18515,4487989505128.718,1,4484167285609.832,-3.0517578125e-05,-4484167285609.831,4.1961669921875e-05,0.00014726281190023888,1.0860765079772976,1,0.9991483448179816,1.0017054887871955,-7.046115051798832e-19,-1.0668625079476491e-16,-0.04133276520145358,-1.0668625079476491e-16,0.04133276520145358,1.0017054887871955,1.521260694596077e-18,0.0,0.04129756393778262,1.0008523811168135,0.0,1.0008523811168135,0.0,0.0,-0.04129756393778262
