detune_THz,I_norm
-9.866666666598968405e+00,7.325036385560397267e-01
-9.699999999932250816e+00,4.826265968000256756e-01
-9.533333333265531451e+00,2.555060972634626282e-01
-9.366666666598844060e+00,8.805716327144745559e-02
-9.199999999932124695e+00,6.059752027859869640e-03
-9.033333333265407106e+00,2.004402695309758994e-02
-8.866666666598687740e+00,1.238875398656612142e-01
-8.699999999931968375e+00,2.962933944550938947e-01
-8.533333333265250786e+00,5.048221144622979661e-01
-8.366666666598531421e+00,7.117221639971088587e-01
-8.199999999931812056e+00,8.805164402018398340e-01
-8.033333333265094467e+00,9.821999214046182036e-01
-7.866666666598375102e+00,1.000000000000000000e+00
-7.699999999931656625e+00,9.319236767540999278e-01
-7.533333333264937259e+00,7.907138000091364916e-01
-7.366666666598218782e+00,6.012895467021147633e-01
-7.199999999931500305e+00,3.961731549018293608e-01
-7.033333333264780940e+00,2.097369051669615014e-01
-6.866666666598062463e+00,7.228327618730785720e-02
-6.699999999931343986e+00,4.974227763576929452e-03
-6.533333333264624621e+00,1.645356837625227414e-02
-6.366666666597906143e+00,1.016954717818147336e-01
-6.199999999931187666e+00,2.432179318454388839e-01
-6.033333333264469189e+00,4.143924475747851055e-01
-5.866666666597749824e+00,5.842300728887799277e-01
-5.699999999931031347e+00,7.227879694986419912e-01
-5.533333333264312870e+00,8.062568417024841283e-01
-5.366666666597593505e+00,8.208685423857960961e-01
-5.199999999930875028e+00,7.649869433238278837e-01
-5.033333333264156551e+00,6.490722682823961698e-01
-4.866666666597437185e+00,4.935798618522125869e-01
-4.699999999930718708e+00,3.252062758783523799e-01
-4.533333333264000231e+00,1.721665768332472646e-01
-4.366666666597280866e+00,5.933516275681741808e-02
-4.199999999930562389e+00,4.083206416105654088e-03
-4.033333333263843912e+00,1.350619952736309588e-02
-3.866666666597124991e+00,8.347863972904009944e-02
-3.699999999930406069e+00,1.996501099572010884e-01
-3.533333333263718679e+00,3.401620335927136862e-01
-3.366666666597000201e+00,4.795764937793557392e-01
-3.199999999930281280e+00,5.933142915413144314e-01
-3.033333333263562359e+00,6.618311249110420125e-01
-2.866666666596843882e+00,6.738252399501654111e-01
-2.699999999930124961e+00,6.279536889355772367e-01
-2.533333333263406040e+00,5.328029523283491775e-01
-2.366666666596687563e+00,4.051641661443112219e-01
-2.199999999929968642e+00,2.669516284359378377e-01
-2.033333333263250164e+00,1.413261895988888184e-01
-1.866666666596531243e+00,4.870641352969803939e-02
-1.699999999929812544e+00,3.351788450824198795e-03
-1.533333333263093845e+00,1.108679618758770177e-02
-1.366666666596374924e+00,6.852497244996766379e-02
-1.199999999929656225e+00,1.638865151106553286e-01
-1.033333333262937526e+00,2.792284326861843025e-01
-8.666666665962187155e-01,3.936694759745156258e-01
-6.999999999295000164e-01,4.870333270718402718e-01
-5.333333332627812062e-01,5.432766428944526549e-01
-3.666666665960625071e-01,5.531221680059121848e-01
-1.999999999293437525e-01,5.154675576759165656e-01
-3.333333326262499785e-02,4.373612432866137434e-01
1.333333334040937568e-01,3.325865621983701281e-01
3.000000000708125114e-01,2.191322394482849434e-01
4.666666667375312660e-01,1.160102530576709451e-01
6.333333334042500207e-01,3.998156638738403768e-02
8.000000000709687198e-01,2.751372624587604052e-03
9.666666667376875299e-01,9.100827641122233996e-03
1.133333333404406229e+00,5.625008275574266275e-02
1.300000000071124928e+00,1.345294479734679971e-01
1.466666666737843849e+00,2.292100338147905203e-01
1.633333333404562548e+00,3.231510515540553241e-01
1.800000000071281248e+00,3.997904308834079323e-01
1.966666666737999947e+00,4.459587247296963874e-01
2.133333333404718868e+00,4.540405300937025990e-01
2.300000000071406259e+00,4.231310008577244819e-01
2.466666666738125180e+00,3.590159699498948753e-01
2.633333333404843657e+00,2.730097321005011679e-01
2.800000000071562578e+00,1.798786666789441713e-01
2.966666666738281055e+00,9.522911286316912416e-02
3.133333333404999976e+00,3.281958781688478627e-02
3.300000000071718897e+00,2.258512117326611380e-03
3.466666666738437375e+00,7.470581052077835543e-03
3.633333333405156296e+00,4.617390963624777578e-02
3.800000000071875217e+00,1.104309555846084839e-01
3.966666666738593694e+00,1.881512457696943030e-01
4.133333333405312615e+00,2.652644966460163678e-01
4.300000000072031092e+00,3.281753561219064030e-01
4.466666666738749569e+00,3.660734984158286465e-01
4.633333333405468935e+00,3.727076531147506255e-01
4.800000000072187412e+00,3.473350282338270589e-01
4.966666666738905889e+00,2.947050156609198890e-01
5.133333333405625254e+00,2.241051699889304027e-01
5.300000000072343731e+00,1.476567699511856235e-01
5.466666666739062208e+00,7.817059053110365918e-02
5.633333333405781573e+00,2.694056797339828419e-02
5.800000000072500050e+00,1.853942053318997788e-03
5.966666666739218527e+00,6.132361849247489408e-03
6.133333333405937893e+00,3.790269458403270481e-02
6.300000000072656370e+00,9.064926588165787835e-02
6.466666666739374847e+00,1.544474218922622932e-01
6.633333333406093324e+00,2.177472822571784317e-01
6.800000000072812689e+00,2.693888799624848396e-01
6.966666666739531166e+00,3.004983187710179027e-01
7.133333333406249643e+00,3.059441019457110889e-01
7.300000000072969009e+00,2.851164975623207698e-01
7.466666666739687486e+00,2.419141355089414192e-01
7.633333333406405963e+00,1.839609015469799991e-01
7.800000000073125328e+00,1.212067876641721859e-01
7.966666666739843805e+00,6.416775358857411404e-02
8.133333333406563170e+00,2.211464734709001068e-02
8.300000000073250561e+00,1.521838157265419187e-03
8.466666666739968150e+00,5.033870596854722948e-03
8.633333333406687515e+00,3.111314714693109995e-02
8.800000000073406881e+00,7.441115359518352124e-02
8.966666666740124469e+00,1.267810433564006412e-01
9.133333333406843835e+00,1.787418893670785769e-01
9.300000000073563200e+00,2.211328460746954938e-01
9.466666666740280789e+00,2.466695999830044173e-01
9.633333333407000154e+00,2.511398829033812952e-01
9.800000000073719519e+00,2.340431845113596920e-01
9.966666666740437108e+00,1.985797516811387831e-01
