detune_THz,I_norm
-9.866666666598968405e+00,1.000000000000000000e+00
-9.699999999932250816e+00,9.125920049296524228e-01
-9.533333333265531451e+00,8.108001880271398232e-01
-9.366666666598844060e+00,6.990782999686563359e-01
-9.199999999932124695e+00,5.822544770708601991e-01
-9.033333333265407106e+00,4.653165035568865848e-01
-8.866666666598687740e+00,3.531929426179656883e-01
-8.699999999931968375e+00,2.505397027258732257e-01
-8.533333333265250786e+00,1.615412441455694459e-01
-8.366666666598531421e+00,8.973487406017269241e-02
-8.199999999931812056e+00,3.786546482630160498e-02
-8.033333333265094467e+00,7.776511733580545108e-03
-7.866666666598375102e+00,3.417899519706644107e-04
-7.699999999931656625e+00,1.544005017663113884e-02
-7.533333333264937259e+00,5.197329006674590579e-02
-7.366666666598218782e+00,1.079272377077237083e-01
-7.199999999931500305e+00,1.804708665650095745e-01
-7.033333333264780940e+00,2.660901066166340700e-01
-6.866666666598062463e+00,3.607494933741970389e-01
-6.699999999931343986e+00,4.600743640512520716e-01
-6.533333333264624621e+00,5.595454138664582855e-01
-6.366666666597906143e+00,6.546969951853337522e-01
-6.199999999931187666e+00,7.413104923020225057e-01
-6.033333333264469189e+00,8.155944319083974214e-01
-5.866666666597749824e+00,8.743436748943718140e-01
-5.699999999931031347e+00,9.150710442218237262e-01
-5.533333333264312870e+00,9.361060285530570235e-01
-5.366666666597593505e+00,9.366567022860955438e-01
-5.199999999930875028e+00,9.168326517181298874e-01
-5.033333333264156551e+00,8.776284207757490963e-01
-4.866666666597437185e+00,8.208687118983992725e-01
-4.699999999930718708e+00,7.491182236630713476e-01
-4.533333333264000231e+00,6.655605061053130322e-01
-4.366666666597280866e+00,5.738515037960086884e-01
-4.199999999930562389e+00,4.779544827819511288e-01
-4.033333333263843912e+00,3.819637590723561349e-01
-3.866666666597124991e+00,2.899250359950676925e-01
-3.699999999930406069e+00,2.056602031541160114e-01
-3.533333333263718679e+00,1.326041530628883636e-01
-3.366666666597000201e+00,7.366055051727692093e-02
-3.199999999930281280e+00,3.108257535312832984e-02
-3.033333333263562359e+00,6.383495174849346254e-03
-2.866666666596843882e+00,2.805646769071284052e-04
-2.699999999930124961e+00,1.267425409918643796e-02
-2.533333333263406040e+00,4.266324768111934979e-02
-2.366666666596687563e+00,8.859409263919816591e-02
-2.199999999929968642e+00,1.481428878778824343e-01
-2.033333333263250164e+00,2.184250432648860707e-01
-1.866666666596531243e+00,2.961279722465793296e-01
-1.699999999929812544e+00,3.776606510010738216e-01
-1.533333333263093845e+00,4.593133236173903011e-01
-1.366666666596374924e+00,5.374202796698743789e-01
-1.199999999929656225e+00,6.085185895210889484e-01
-1.033333333262937526e+00,6.694959513833625975e-01
-8.666666665962187155e-01,7.177213668535700197e-01
-6.999999999295000164e-01,7.511531901230313890e-01
-5.333333332627812062e-01,7.684201506895356193e-01
