Delay_fs,Slit_separation_fs,Reflectivity
-3156.81559244202,-2401.33333333327,0.0939983523078285
-3156.81559244202,-2201.33333333346,0.0940399368782534
-3156.81559244202,-2001.33333333345,0.0941675089959461
-3156.81559244202,-1800.66666666675,0.093674461918765
-3156.81559244202,-1600.66666666674,0.0937658736555856
-3156.81559244202,-1400.66666666674,0.0935933426945617
-3156.81559244202,-1200.66666666673,0.093881928525801
-3156.81559244202,-1000.66666666672,0.0936464863236794
-3156.81559244202,-800.666666666719,0.0938402164392532
-3156.81559244202,-600.666666666711,0.0938789179208171
-3156.81559244202,-400.666666666704,0.0939146625299027
-3156.81559244202,-200.666666666696,0.0937800873554155
-3156.81559244202,0.0,0.0940894738274426
-3156.81559244202,200.666666666696,0.093814139001977
-3156.81559244202,400.666666666704,0.0938931812877762
-3156.81559244202,600.666666666711,0.0942502845230427
-3156.81559244202,801.999999999907,0.0940044060618721
-3156.81559244202,1001.99999999991,0.0943513158427997
-3156.81559244202,1203.99999999998,0.0940063951057961
-3156.81559244202,1403.99999999999,0.0940143058445904
-3156.81559244202,1604.0,0.0939236300640777
-3156.81559244202,1804.00000000001,0.0938573938639789
-3156.81559244202,2006.66666666658,0.0938347746934634
-3156.81559244202,2205.9999999999,0.0924006430682772
-3090.14892577541,-2401.33333333327,0.0938075084023932
-3090.14892577541,-2201.33333333346,0.0941655192097252
-3090.14892577541,-2001.33333333345,0.0940927394692392
-3090.14892577541,-1800.66666666675,0.0939815419481949
-3090.14892577541,-1600.66666666674,0.0940925861405814
-3090.14892577541,-1400.66666666674,0.0940688619529568
-3090.14892577541,-1200.66666666673,0.093911867800704
-3090.14892577541,-1000.66666666672,0.0937066029731029
-3090.14892577541,-800.666666666719,0.0939288200097978
-3090.14892577541,-600.666666666711,0.0940251738318151
-3090.14892577541,-400.666666666704,0.093933367253284
-3090.14892577541,-200.666666666696,0.0936153762270445
-3090.14892577541,0.0,0.0937551946425539
-3090.14892577541,200.666666666696,0.0938121347444934
-3090.14892577541,400.666666666704,0.0937159914491317
-3090.14892577541,600.666666666711,0.0939507190539665
-3090.14892577541,801.999999999907,0.0937886573114712
-3090.14892577541,1001.99999999991,0.093751246274596
-3090.14892577541,1203.99999999998,0.0938818420814757
-3090.14892577541,1403.99999999999,0.0939853162765982
-3090.14892577541,1604.0,0.0941303343826687
-3090.14892577541,1804.00000000001,0.0934877231315901
-3090.14892577541,2006.66666666658,0.0937756122152833
-3090.14892577541,2205.9999999999,0.0927983958260079
-3023.4822591088,-2401.33333333327,0.0939564379921488
-3023.4822591088,-2201.33333333346,0.0936048838013689
-3023.4822591088,-2001.33333333345,0.093919062222164
-3023.4822591088,-1800.66666666675,0.0941137067843908
-3023.4822591088,-1600.66666666674,0.0937774548817329
-3023.4822591088,-1400.66666666674,0.0944273397444016
-3023.4822591088,-1200.66666666673,0.094187431330934
-3023.4822591088,-1000.66666666672,0.0943400709506108
-3023.4822591088,-800.666666666719,0.0939323175191614
-3023.4822591088,-600.666666666711,0.0938311313360356
-3023.4822591088,-400.666666666704,0.093914078007297
-3023.4822591088,-200.666666666696,0.0942087914494658
-3023.4822591088,0.0,0.0936736909367754
-3023.4822591088,200.666666666696,0.0939719026981854
-3023.4822591088,400.666666666704,0.0938866081163426
-3023.4822591088,600.666666666711,0.0935265732989934
-3023.4822591088,801.999999999907,0.0938139892887611
-3023.4822591088,1001.99999999991,0.0939329654551558
-3023.4822591088,1203.99999999998,0.0936879356686133
-3023.4822591088,1403.99999999999,0.093493630466534
-3023.4822591088,1604.0,0.0938488227868734
-3023.4822591088,1804.00000000001,0.0938271763174811
-3023.4822591088,2006.66666666658,0.0940789951602637
-3023.4822591088,2205.9999999999,0.0939761966707247
-2956.8155924422,-2401.33333333327,0.0939935960734252
-2956.8155924422,-2201.33333333346,0.093898507252572
-2956.8155924422,-2001.33333333345,0.0940135544193015
-2956.8155924422,-1800.66666666675,0.0940384420712952
-2956.8155924422,-1600.66666666674,0.0939828692612918
-2956.8155924422,-1400.66666666674,0.0940036006114374
-2956.8155924422,-1200.66666666673,0.0940481220517934
-2956.8155924422,-1000.66666666672,0.0939291243023125
-2956.8155924422,-800.666666666719,0.093942227129025
-2956.8155924422,-600.666666666711,0.0939012183270485
-2956.8155924422,-400.666666666704,0.0939254761981075
-2956.8155924422,-200.666666666696,0.0942144809530364
-2956.8155924422,0.0,0.0940196542193457
-2956.8155924422,200.666666666696,0.0940051161079135
-2956.8155924422,400.666666666704,0.0938846075859063
-2956.8155924422,600.666666666711,0.0938487636935543
-2956.8155924422,801.999999999907,0.0941256579981133
-2956.8155924422,1001.99999999991,0.0936943528862899
-2956.8155924422,1203.99999999998,0.094180203189734
-2956.8155924422,1403.99999999999,0.0939034633787377
-2956.8155924422,1604.0,0.0937517983108
-2956.8155924422,1804.00000000001,0.0942586941777486
-2956.8155924422,2006.66666666658,0.0940422639534315
-2956.8155924422,2205.9999999999,0.0942778925515017
-2890.14892577559,-2401.33333333327,0.0939100647067159
-2890.14892577559,-2201.33333333346,0.0939571123405922
-2890.14892577559,-2001.33333333345,0.0934730943758608
-2890.14892577559,-1800.66666666675,0.0938578067598658
-2890.14892577559,-1600.66666666674,0.0940471755433199
-2890.14892577559,-1400.66666666674,0.0935728144791542
-2890.14892577559,-1200.66666666673,0.0936366097732792
-2890.14892577559,-1000.66666666672,0.0940436749328061
-2890.14892577559,-800.666666666719,0.0940223783852742
-2890.14892577559,-600.666666666711,0.0940295180667953
-2890.14892577559,-400.666666666704,0.0939783754939204
-2890.14892577559,-200.666666666696,0.0938472234975495
-2890.14892577559,0.0,0.094127945856394
-2890.14892577559,200.666666666696,0.0940626669299424
-2890.14892577559,400.666666666704,0.094285571043355
-2890.14892577559,600.666666666711,0.0940896189129549
-2890.14892577559,801.999999999907,0.093933248822294
-2890.14892577559,1001.99999999991,0.0939360790236701
-2890.14892577559,1203.99999999998,0.0939095834368925
-2890.14892577559,1403.99999999999,0.0942692435160514
-2890.14892577559,1604.0,0.0940113739380918
-2890.14892577559,1804.00000000001,0.0942349719917129
-2890.14892577559,2006.66666666658,0.0939343134600697
-2890.14892577559,2205.9999999999,0.0962128313660002
-2823.48225910899,-2401.33333333327,0.0948277206819169
-2823.48225910899,-2201.33333333346,0.094208875014638
-2823.48225910899,-2001.33333333345,0.0939437891522561
-2823.48225910899,-1800.66666666675,0.094307588685325
-2823.48225910899,-1600.66666666674,0.0938493803914894
-2823.48225910899,-1400.66666666674,0.0941001138629802
-2823.48225910899,-1200.66666666673,0.0939925205412592
-2823.48225910899,-1000.66666666672,0.0941827507635621
-2823.48225910899,-800.666666666719,0.0943243300269986
-2823.48225910899,-600.666666666711,0.0938447432723067
-2823.48225910899,-400.666666666704,0.0943805270466192
-2823.48225910899,-200.666666666696,0.0941058114348366
-2823.48225910899,0.0,0.0943100467934306
-2823.48225910899,200.666666666696,0.0945084710587927
-2823.48225910899,400.666666666704,0.0947871326027438
-2823.48225910899,600.666666666711,0.0941506202943252
-2823.48225910899,801.999999999907,0.0943920707030938
-2823.48225910899,1001.99999999991,0.0940821336921574
-2823.48225910899,1203.99999999998,0.0943967556070183
-2823.48225910899,1403.99999999999,0.0943650227750061
-2823.48225910899,1604.0,0.0939520343309861
-2823.48225910899,1804.00000000001,0.0943391801660838
-2823.48225910899,2006.66666666658,0.0942929334107444
-2823.48225910899,2205.9999999999,0.105916784142392
-2756.81559244238,-2401.33333333327,0.0944258188748318
-2756.81559244238,-2201.33333333346,0.094155353020987
-2756.81559244238,-2001.33333333345,0.093880499985949
-2756.81559244238,-1800.66666666675,0.0942690531522201
-2756.81559244238,-1600.66666666674,0.0941937694848152
-2756.81559244238,-1400.66666666674,0.0942802719325268
-2756.81559244238,-1200.66666666673,0.0938223554788001
-2756.81559244238,-1000.66666666672,0.0939859509858472
-2756.81559244238,-800.666666666719,0.0937816331574129
-2756.81559244238,-600.666666666711,0.0939689883927387
-2756.81559244238,-400.666666666704,0.0939973724786046
-2756.81559244238,-200.666666666696,0.0940895963496602
-2756.81559244238,0.0,0.0941171166926892
-2756.81559244238,200.666666666696,0.0940509277075385
-2756.81559244238,400.666666666704,0.094283856302981
