series,delay_fs,reflectivity
actual,3199.99999999708,0.105604324947527
actual,3133.33333333048,0.10473853411956
actual,3066.66666666387,0.104796480749778
actual,2999.99999999727,0.104527199350528
actual,2933.33333333066,0.104691665521589
actual,2866.66666666405,0.104324386144764
actual,2799.99999999745,0.105226819694781
actual,2733.33333333084,0.104502486817053
actual,2666.66666666424,0.105220002444167
actual,2599.99999999763,0.105790095026756
actual,2533.33333333102,0.105716809582657
actual,2466.66666666442,0.105680166860607
actual,2399.99999999781,0.106016768609669
actual,2333.33333333121,0.106315875480355
actual,2266.6666666646,0.106108801492957
actual,2199.99999999799,0.106705310921674
actual,2133.33333333139,0.108430075326995
actual,2066.66666666478,0.109001872222238
actual,1999.99999999818,0.110938823552917
actual,1933.33333333157,0.115468886585864
actual,1866.66666666496,0.120988303114156
actual,1799.99999999836,0.130351796832371
actual,1733.33333333175,0.144904070424102
actual,1666.66666666515,0.161826190760497
actual,1599.99999999854,0.187556198890071
actual,1533.33333333193,0.220999073932965
actual,1466.66666666533,0.264288615331335
actual,1399.99999999872,0.312024708442632
actual,1333.33333333212,0.362173256114929
actual,1266.66666666551,0.416657575177677
actual,1199.9999999989,0.476714996617301
actual,1133.3333333323,0.496248123938825
actual,1066.66666666569,0.502724512022046
actual,999.99999999909,0.434860486473161
actual,933.333333332484,0.337561277086037
actual,866.666666665878,0.212865241794236
actual,799.999999999272,0.134285350436601
actual,733.333333332666,0.106355074671385
actual,666.66666666606,0.104211901509635
actual,599.999999999454,0.101410011507315
actual,533.333333332848,0.100447927014426
actual,466.666666666242,0.10135632565873
actual,399.999999999636,0.100666931190398
actual,333.33333333303,0.100294538875613
actual,266.666666666424,0.100280904374385
actual,199.999999999818,0.100637957875289
actual,133.333333333212,0.101167999110521
actual,66.666666666606,0.101736387380456
actual,0.0,0.101991182122151
actual,-66.666666666606,0.101502044390603
actual,-133.333333333212,0.103023143433833
actual,-199.999999999818,0.104370402586408
actual,-266.666666666424,0.106341440170157
actual,-333.33333333303,0.108617549718878
actual,-399.999999999636,0.115683629980203
actual,-466.666666666242,0.126958510339294
actual,-533.333333332848,0.143108577043662
actual,-599.999999999454,0.167453831142285
actual,-666.66666666606,0.196902649481751
actual,-733.333333332666,0.2366796025013
actual,-799.999999999272,0.29274467155015
actual,-866.666666665878,0.349352564179132
actual,-933.333333332484,0.406733362596468
actual,-999.99999999909,0.469026842237457
actual,-1066.66666666569,0.525767671253411
actual,-1133.3333333323,0.553630626668814
actual,-1199.9999999989,0.53802849648254
actual,-1266.66666666551,0.466107354662047
actual,-1333.33333333212,0.326813029336871
