detune_THz,I_norm
-9.866666666598968405e+00,8.633567106768526012e-01
-9.699999999932250816e+00,6.986560856584159707e-01
-9.533333333265531451e+00,5.222014308400464433e-01
-9.366666666598844060e+00,3.509587769146160219e-01
-9.199999999932124695e+00,2.011676131232367493e-01
-9.033333333265407106e+00,8.677046252298141471e-02
-8.866666666598687740e+00,1.808645521980523432e-02
-8.699999999931968375e+00,8.547551509979755277e-04
-8.533333333265250786e+00,3.573606835756333588e-02
-8.366666666598531421e+00,1.183147413769176787e-01
-8.199999999931812056e+00,2.395947012678614485e-01
-8.033333333265094467e+00,3.869345321216063338e-01
-7.866666666598375102e+00,5.453249753657295473e-01
-7.699999999931656625e+00,6.988800917989800299e-01
-7.533333333264937259e+00,8.323942198605849274e-01
-7.366666666598218782e+00,9.328123966126656841e-01
-7.199999999931500305e+00,9.904723184047781182e-01
-7.033333333264780940e+00,1.000000000000000000e+00
-6.866666666598062463e+00,9.607765226961394456e-01
-6.699999999931343986e+00,8.769360695048413756e-01
-6.533333333264624621e+00,7.569015663318955367e-01
-6.366666666597906143e+00,6.125091505916603341e-01
-6.199999999931187666e+00,4.578120213505698088e-01
-6.033333333264469189e+00,3.076842336298992731e-01
-5.866666666597749824e+00,1.763628862942195064e-01
-5.699999999931031347e+00,7.607133661455357798e-02
-5.533333333264312870e+00,1.585632694451905370e-02
-5.366666666597593505e+00,7.493606139418874761e-04
-5.199999999930875028e+00,3.132967611561630200e-02
-5.033333333264156551e+00,1.037260867606443621e-01
-4.866666666597437185e+00,2.100517694092031151e-01
-4.699999999930718708e+00,3.392240425053577035e-01
-4.533333333264000231e+00,4.780843457650825190e-01
-4.366666666597280866e+00,6.127055362778428549e-01
-4.199999999930562389e+00,7.297568679889236964e-01
-4.033333333263843912e+00,8.177931041794166411e-01
-3.866666666597124991e+00,8.683433397420140532e-01
-3.699999999930406069e+00,8.766962221510280484e-01
-3.533333333263718679e+00,8.423091477316593245e-01
-3.366666666597000201e+00,7.688065391367603363e-01
-3.199999999930281280e+00,6.635727437058324130e-01
-3.033333333263562359e+00,5.369844583720303488e-01
-2.866666666596843882e+00,4.013620696389243458e-01
-2.699999999930124961e+00,2.697456053290507860e-01
-2.533333333263406040e+00,1.546166762199901457e-01
-2.366666666596687563e+00,6.669145346612358194e-02
-2.199999999929968642e+00,1.390118193842572458e-02
-2.033333333263250164e+00,6.569616192584105691e-04
